Count = 2 ########################################################
file_name: Class_1.java_compare.txt Total_FQN:29 Unique.15 f1:0.9655
file_name: Class_10.java_compare.txt Total_FQN:3 Unique.2 f1:1.0000
file_name: Class_11.java_compare.txt Total_FQN:13 Unique.4 f1:0.8462
file_name: Class_12.java_compare.txt Total_FQN:19 Unique.6 f1:1.0000
file_name: Class_13.java_compare.txt Total_FQN:7 Unique.6 f1:0.2857
file_name: Class_14.java_compare.txt Total_FQN:3 Unique.1 f1:1.0000
file_name: Class_15.java_compare.txt Total_FQN:2 Unique.1 f1:1.0000
file_name: Class_16.java_compare.txt Total_FQN:44 Unique.9 f1:0.5000
file_name: Class_17.java_compare.txt Total_FQN:9 Unique.5 f1:0.8889
file_name: Class_18.java_compare.txt Total_FQN:3 Unique.2 f1:0.3333
file_name: Class_19.java_compare.txt Total_FQN:13 Unique.7 f1:0.9231
file_name: Class_2.java_compare.txt Total_FQN:69 Unique.41 f1:0.3188
file_name: Class_20.java_compare.txt Total_FQN:26 Unique.9 f1:1.0000
file_name: Class_21.java_compare.txt Total_FQN:37 Unique.30 f1:0.3784
file_name: Class_22.java_compare.txt Total_FQN:27 Unique.16 f1:0.4444
file_name: Class_3.java_compare.txt Total_FQN:13 Unique.5 f1:1.0000
file_name: Class_4.java_compare.txt Total_FQN:5 Unique.4 f1:0.8000
file_name: Class_5.java_compare.txt Total_FQN:15 Unique.8 f1:1.0000
file_name: Class_7.java_compare.txt Total_FQN:12 Unique.6 f1:1.0000
file_name: Class_9.java_compare.txt Total_FQN:8 Unique.5 f1:0.8750
Average_F1-Score: f1:0.7780

Count = 3 ########################################################
file_name: Class_1.java_compare.txt Total_FQN:29 Unique.15 f1:0.9655
file_name: Class_10.java_compare.txt Total_FQN:3 Unique.2 f1:1.0000
file_name: Class_11.java_compare.txt Total_FQN:13 Unique.4 f1:0.8462
file_name: Class_12.java_compare.txt Total_FQN:19 Unique.6 f1:1.0000
file_name: Class_13.java_compare.txt Total_FQN:7 Unique.6 f1:0.2857
file_name: Class_14.java_compare.txt Total_FQN:3 Unique.1 f1:1.0000
file_name: Class_15.java_compare.txt Total_FQN:2 Unique.1 f1:1.0000
file_name: Class_16.java_compare.txt Total_FQN:44 Unique.9 f1:0.6136
file_name: Class_17.java_compare.txt Total_FQN:9 Unique.5 f1:0.8889
file_name: Class_18.java_compare.txt Total_FQN:3 Unique.2 f1:0.3333
file_name: Class_19.java_compare.txt Total_FQN:13 Unique.7 f1:0.9231
file_name: Class_2.java_compare.txt Total_FQN:69 Unique.41 f1:0.3768
file_name: Class_20.java_compare.txt Total_FQN:26 Unique.9 f1:1.0000
file_name: Class_21.java_compare.txt Total_FQN:37 Unique.30 f1:0.4324
file_name: Class_22.java_compare.txt Total_FQN:27 Unique.16 f1:0.4444
