"id","groupid","artifactid","version"
"11","jar","android-13.jar","1"
"15","jar","android-google-maps-api11.jar","1"
"41","jar","apache-commons-net.jar","1"
"14","jar","api-all-2.0.1.jar","1"
"30","jar","appfuse-hibernate-2.2.jar","1"
"31","jar","aqute.gwt.greeter.jar","1"
"10","jar","cloudbees-api-client-1.5.0.jar","1"
"29","jar","com.thoughtworks.xstream.jar","1"
"27","jar","commons-collections-3.2.1.jar","1"
"23","jar","commons-io-2.4.jar","1"
"33","jar","commons-lang-2.6.jar","1"
"37","jar","commons-lang3-3.1.jar","1"
"45","jar","commons-logging-1.1.jar","1"
"24","jar","commons-logging-1.2.jar","1"
"25","jar","dom4j-1.4.jar","1"
"9","jar","flex-messaging-core-3.2.0.jar","1"
"18","jar","fluent-hc-4.5.3.jar","1"
"34","jar","gilead-adapter4gwt-1.2.3.823.jar","1"
"5","jar","gilead-core-1.3.2.jar","1"
"44","jar","gilead-hibernate-1.3.2.jar","1"
"16","jar","google-play-services.jar","1"
"35","jar","gson-2.2.4.jar","1"
"46","jar","guava-14.0.1.jar","1"
"4","jar","gwt-dev-2.9.0.jar","1"
"20","jar","gwt-servlet-1.4.62.jar","1"
"50","jar","gwt-user.jar","1"
"21","jar","gxt-2.2.1.jar","1"
"19","jar","hibernate-3.5.3.jar","1"
"26","jar","hibernate-annotations.jar","1"
"22","jar","hibernate-shards.jar","1"
"6","jar","hibernate-validator.jar","1"
"7","jar","httpclient-4.3.3.jar","1"
"17","jar","javax.faces-api-2.0.jar","1"
"12","jar","javax.persistence-2.0.3.jar","1"
"49","jar","javax.servlet-api-3.0.1.jar","1"
"36","jar","joda-time-2.0.jar","1"
"2","jar","json-20090211.jar","1"
"47","jar","junit-4.11.jar","1"
"32","jar","junit-4.3.jar","1"
"3","jar","ksoap2-android-2.5.2.jar","1"
"13","jar","library-management-1.0.jar","1"
"48","jar","log4j-1.2.15.jar","1"
"38","jar","log4j-1.2.17.jar","1"
"42","jar","org.springframework.transaction_3.0.5.RELEASE.jar","1"
"43","jar","spring-boot-1.0.0.RC3_0.jar","1"
"8","jar","spring-boot-autoconfigure-1.0.0.RC3_0.jar","1"
"28","jar","struts.jar","1"
"40","jar","xstream-1.4.4.jar","1"
"39","jar","xstream-hibernate-1.4.jar","1"
"1","openjdk","jdk","1.8.0"
