Class_22.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
JFrame,javax.swing.JFrame,javax.swing.JFrame,1,javax.swing.JFrame,javax.swing.JFrame,1,1
JProgressBar,javax.swing.JProgressBar,javax.swing.JProgressBar,1,javax.swing.JProgressBar,javax.swing.JProgressBar,1,1
JProgressBar,javax.swing.JProgressBar,javax.swing.JProgressBar,1,javax.swing.JProgressBar,javax.swing.JProgressBar,1,1
JLabel,javax.swing.JLabel,javax.swing.JLabel,1,javax.swing.JLabel,javax.swing.JLabel,1,1
JLabel,javax.swing.JLabel,javax.swing.JLabel,1,javax.swing.JLabel,javax.swing.JLabel,1,1
new GridLayout,java.awt.GridLayout,java.awt.GridLayout,1,-,-,0,1
new PropertyChangeListener(),java.beans.PropertyChangeListener,java.beans.PropertyChangeListener,1,-,-,0,1
SwingWorker,java.swing.SwingWorker,javax.swing.SwingWorker,0,javax.swing.SwingWorker,javax.swing.SwingWorker,1,1
DecimalFormat,java.text.DecimalFormat,java.text.DecimalFormat,1,java.text.DecimalFormat,java.text.DecimalFormat,1,1
DecimalFormat,java.text.DecimalFormat,java.text.DecimalFormat,1,java.text.DecimalFormat,java.text.DecimalFormat,1,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
EventQueue,java.awt.EventQueue,java.awt.EventQueue,1,java.awt.EventQueue,java.awt.EventQueue,1,1
Container,java.awt.Container,java.awt.Container,1,java.awt.Container,java.awt.Container,1,1
JFrame,javax.swing.JFrame,javax.swing.JFrame,1,javax.swing.JFrame,javax.swing.JFrame,1,1
dl_correct:13,dl_accuracy:0.9286,,rule_correct:12,rule_checked:12,rule_accuracy:1.0,rule_recall:0.8571
checked:14,total correct:14,total accuracy:1.0
