filename:xstream_class_1.java    extra_types:['com/google/common/collect/Collections2$TransformedCollection', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/google/common/collect/Maps$KeySet', 'com/google/common/collect/Synchronized$SynchronizedObject', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/reflect/Element', 'javax/transaction/Transaction', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/collect/SortedIterable', 'antlr/CommonAST', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'org/eclipse/core/resources/IStorage', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'org/eclipse/core/resources/IProjectNature', 'org/apache/commons/lang3/time/DatePrinter', 'java/time/chrono/ChronoLocalDateImpl', 'java/lang/Comparable', 'com/google/common/reflect/TypeCapture', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'sun/print/AttributeUpdater', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'java/util/Collections$UnmodifiableSet', 'com/google/common/collect/SortedMultisetBridge', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'com/google/common/collect/AbstractListMultimap', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/AbstractTable', 'java/util/Collections$CheckedCollection', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'org/eclipse/core/runtime/IAdaptable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap']

filename:xstream_class_10.java    extra_types:['com/sun/msv/datatype/SerializationContext', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'com/sun/org/apache/xml/internal/serializer/ExtendedLexicalHandler', 'com/sun/org/apache/xml/internal/serializer/XSLOutputAttributes', 'com/sun/org/apache/xml/internal/serializer/SerializerConstants', 'com/sun/org/apache/xml/internal/serializer/ExtendedContentHandler', 'org/relaxng/datatype/ValidationContext']

filename:xstream_class_11.java    extra_types:[]

filename:xstream_class_12.java    extra_types:[]

filename:xstream_class_13.java    extra_types:[]

filename:xstream_class_14.java    extra_types:[]

filename:xstream_class_15.java    extra_types:['org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod']

filename:xstream_class_16.java    extra_types:[]

filename:xstream_class_17.java    extra_types:[]

filename:xstream_class_18.java    extra_types:[]

filename:xstream_class_19.java    extra_types:[]

filename:xstream_class_2.java    extra_types:[]

filename:xstream_class_20.java    extra_types:[]

filename:xstream_class_21.java    extra_types:[]

filename:xstream_class_22.java    extra_types:[]

filename:xstream_class_23.java    extra_types:[]

filename:xstream_class_24.java    extra_types:[]

filename:xstream_class_25.java    extra_types:[]

filename:xstream_class_26.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_27.java    extra_types:[]

filename:xstream_class_28.java    extra_types:[]

filename:xstream_class_29.java    extra_types:[]

filename:xstream_class_3.java    extra_types:[]

filename:xstream_class_30.java    extra_types:[]

filename:xstream_class_31.java    extra_types:[]

filename:xstream_class_32.java    extra_types:[]

filename:xstream_class_33.java    extra_types:[]

filename:xstream_class_34.java    extra_types:['com/google/common/collect/Collections2$TransformedCollection', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/google/common/collect/Maps$KeySet', 'com/google/common/collect/Synchronized$SynchronizedObject', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/reflect/Element', 'javax/transaction/Transaction', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/collect/SortedIterable', 'antlr/CommonAST', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'org/apache/commons/beanutils/DynaClass', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/dev/javac/typemodel/JDelegatingClassType', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'com/sun/org/apache/xalan/internal/xsltc/compiler/TopLevelElement', 'javax/servlet/jsp/tagext/TagSupport', 'com/google/gwt/dev/javac/typemodel/JMaybeParameterizedType', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'org/eclipse/core/resources/IStorage', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'org/hibernate/annotations/common/reflection/java/JavaXAnnotatedElement', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'javax/servlet/jsp/tagext/BodyTagSupport', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'java/util/zip/ZipConstants', 'sun/awt/X11/XWrapperBase', 'org/eclipse/jdt/internal/core/MemberElementInfo', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'org/eclipse/core/resources/IProjectNature', 'com/google/gwt/user/rebind/ui/ImageBundleBuilder$HasRect', 'org/apache/commons/lang3/time/DatePrinter', 'com/google/gwt/user/rebind/rpc/TypeFilter', 'java/time/chrono/ChronoLocalDateImpl', 'com/sun/xml/internal/bind/v2/model/impl/TypeInfoImpl', 'java/lang/Comparable', 'com/google/common/reflect/TypeCapture', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'sun/print/AttributeUpdater', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'org/objectweb/asm/MethodVisitor', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'java/util/Collections$UnmodifiableSet', 'com/google/common/collect/SortedMultisetBridge', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'com/google/gwt/dev/CompileArgProcessor', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'com/sun/xml/internal/ws/model/wsdl/AbstractObjectImpl', 'com/google/common/collect/AbstractListMultimap', 'com/sun/xml/internal/ws/model/wsdl/AbstractFeaturedObjectImpl', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'javax/swing/TransferHandler$HasGetTransferHandler', 'sun/security/jgss/krb5/Krb5CredElement', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'org/eclipse/jetty/util/log/Logger', 'com/google/gwt/dev/PrecompileTaskArgProcessor', 'com/google/common/collect/AbstractTable', 'com/sun/xml/internal/ws/model/wsdl/AbstractExtensibleImpl', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Expression', 'com/sun/org/apache/xalan/internal/xsltc/compiler/QName', 'java/util/Collections$CheckedCollection', 'com/google/gwt/dev/PermutationWorker', 'org/objectweb/asm/FieldVisitor', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'org/eclipse/core/runtime/IAdaptable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap']

filename:xstream_class_35.java    extra_types:[]

filename:xstream_class_36.java    extra_types:[]

filename:xstream_class_37.java    extra_types:[]

filename:xstream_class_38.java    extra_types:[]

filename:xstream_class_39.java    extra_types:[]

filename:xstream_class_4.java    extra_types:[]

filename:xstream_class_40.java    extra_types:[]

filename:xstream_class_41.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_42.java    extra_types:[]

filename:xstream_class_43.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_44.java    extra_types:[]

filename:xstream_class_5.java    extra_types:[]

filename:xstream_class_6.java    extra_types:[]

filename:xstream_class_7.java    extra_types:[]

filename:xstream_class_8.java    extra_types:[]

filename:xstream_class_9.java    extra_types:[]

