gwt_class_28.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
EntryPoint,com.google.gwt.core.client.EntryPoint,com.google.gwt.core.client.EntryPoint,1,com.google.gwt.core.client.EntryPoint,com.google.gwt.core.client.EntryPoint,1,1
RequestBuilder,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,1
RequestBuilder,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,1
RequestException,com.google.gwt.http.client.RequestException,com.google.gwt.http.client.RequestException,1,com.google.gwt.http.client.RequestException,com.google.gwt.http.client.RequestException,1,1
Window,com.google.gwt.user.client.Window,com.google.gwt.user.client.Window,1,com.google.gwt.user.client.Window,com.google.gwt.user.client.Window,1,1
RequestCallback,com.google.gwt.http.client.RequestCallback,com.google.gwt.http.client.RequestCallback,1,com.google.gwt.http.client.RequestCallback,com.google.gwt.http.client.RequestCallback,1,1
Request,com.google.gwt.http.client.Request,com.google.gwt.http.client.Request,1,com.google.gwt.http.client.Request,com.google.gwt.http.client.Request,1,1
Response,com.google.gwt.http.client.Response,com.google.gwt.http.client.Response,1,com.google.gwt.http.client.Response,com.google.gwt.http.client.Response,1,1
dl_correct:8,dl_accuracy:1.0,,rule_correct:8,rule_checked:8,rule_accuracy:1.0,rule_recall:1.0
checked:8,total correct:8,total accuracy:1.0
