filename:xstream_class_1.java    extra_types:['com/google/common/collect/Synchronized$SynchronizedCollection', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'antlr/CommonAST', 'com/google/common/collect/Synchronized$SynchronizedSet', 'java/lang/Comparable', 'com/google/common/reflect/TypeCapture', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'javax/transaction/Transaction', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/reflect/Element', 'org/eclipse/core/runtime/IAdaptable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/collect/AbstractTable', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'org/eclipse/core/resources/IStorage', 'org/springframework/beans/factory/InitializingBean', 'java/util/Collections$UnmodifiableSet', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'org/eclipse/core/resources/IProjectNature', 'com/google/common/collect/AbstractRangeSet', 'org/eclipse/core/runtime/PlatformObject', 'java/util/Collections$CheckedCollection', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'com/google/common/collect/SortedMultisetBridge', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'com/google/common/collect/Maps$KeySet', 'com/google/common/collect/Synchronized$SynchronizedObject', 'com/google/common/collect/Collections2$TransformedCollection', 'sun/print/AttributeUpdater', 'com/google/common/collect/SortedIterable', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/common/collect/AbstractListMultimap', 'org/apache/commons/lang3/time/DatePrinter', 'org/springframework/beans/factory/BeanClassLoaderAware']

filename:xstream_class_10.java    extra_types:['com/sun/org/apache/xml/internal/serializer/ExtendedContentHandler', 'com/sun/msv/datatype/SerializationContext', 'com/sun/org/apache/xml/internal/serializer/SerializerConstants', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'com/sun/org/apache/xml/internal/serializer/XSLOutputAttributes', 'org/relaxng/datatype/ValidationContext', 'com/sun/org/apache/xml/internal/serializer/ExtendedLexicalHandler']

filename:xstream_class_11.java    extra_types:[]

filename:xstream_class_12.java    extra_types:[]

filename:xstream_class_13.java    extra_types:[]

filename:xstream_class_14.java    extra_types:[]

filename:xstream_class_15.java    extra_types:['org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod']

filename:xstream_class_16.java    extra_types:[]

filename:xstream_class_17.java    extra_types:[]

filename:xstream_class_18.java    extra_types:[]

filename:xstream_class_19.java    extra_types:[]

filename:xstream_class_2.java    extra_types:[]

filename:xstream_class_20.java    extra_types:[]

filename:xstream_class_21.java    extra_types:[]

filename:xstream_class_22.java    extra_types:[]

filename:xstream_class_23.java    extra_types:[]

filename:xstream_class_24.java    extra_types:[]

filename:xstream_class_25.java    extra_types:[]

filename:xstream_class_26.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_27.java    extra_types:[]

filename:xstream_class_28.java    extra_types:[]

filename:xstream_class_29.java    extra_types:[]

filename:xstream_class_3.java    extra_types:[]

filename:xstream_class_30.java    extra_types:[]

filename:xstream_class_31.java    extra_types:[]

filename:xstream_class_32.java    extra_types:[]

filename:xstream_class_33.java    extra_types:[]

filename:xstream_class_34.java    extra_types:['com/google/common/collect/Synchronized$SynchronizedCollection', 'sun/security/jgss/krb5/Krb5CredElement', 'javax/servlet/jsp/tagext/TagSupport', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'com/google/gwt/user/rebind/ui/ImageBundleBuilder$HasRect', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'javax/servlet/jsp/tagext/BodyTagSupport', 'java/util/zip/ZipConstants', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'antlr/CommonAST', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'com/google/common/collect/Synchronized$SynchronizedSet', 'java/lang/Comparable', 'com/google/common/reflect/TypeCapture', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'javax/transaction/Transaction', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/gwt/dev/javac/typemodel/JDelegatingClassType', 'com/sun/xml/internal/bind/v2/model/impl/TypeInfoImpl', 'com/google/gwt/user/rebind/rpc/TypeFilter', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/reflect/Element', 'org/eclipse/core/runtime/IAdaptable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/collect/AbstractTable', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Expression', 'org/hibernate/annotations/common/reflection/java/JavaXAnnotatedElement', 'org/eclipse/core/resources/IStorage', 'org/objectweb/asm/FieldVisitor', 'org/objectweb/asm/MethodVisitor', 'org/springframework/beans/factory/InitializingBean', 'java/util/Collections$UnmodifiableSet', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'org/eclipse/core/resources/IProjectNature', 'com/sun/org/apache/xalan/internal/xsltc/compiler/TopLevelElement', 'com/google/common/collect/AbstractRangeSet', 'org/eclipse/core/runtime/PlatformObject', 'com/sun/xml/internal/ws/model/wsdl/AbstractFeaturedObjectImpl', 'java/util/Collections$CheckedCollection', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'org/eclipse/jdt/internal/core/MemberElementInfo', 'com/google/common/collect/SortedMultisetBridge', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'com/google/gwt/dev/PermutationWorker', 'com/sun/org/apache/xalan/internal/xsltc/compiler/QName', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'com/google/common/collect/Maps$KeySet', 'org/apache/commons/beanutils/DynaClass', 'javax/swing/TransferHandler$HasGetTransferHandler', 'com/google/common/collect/Synchronized$SynchronizedObject', 'com/google/common/collect/Collections2$TransformedCollection', 'sun/print/AttributeUpdater', 'com/google/gwt/dev/CompileArgProcessor', 'org/eclipse/jetty/util/log/Logger', 'com/google/gwt/dev/javac/typemodel/JMaybeParameterizedType', 'com/google/common/collect/SortedIterable', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/sun/xml/internal/ws/model/wsdl/AbstractExtensibleImpl', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/common/collect/AbstractListMultimap', 'org/apache/commons/lang3/time/DatePrinter', 'com/sun/xml/internal/ws/model/wsdl/AbstractObjectImpl', 'sun/awt/X11/XWrapperBase', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/google/gwt/dev/PrecompileTaskArgProcessor']

filename:xstream_class_35.java    extra_types:[]

filename:xstream_class_36.java    extra_types:[]

filename:xstream_class_37.java    extra_types:[]

filename:xstream_class_38.java    extra_types:[]

filename:xstream_class_39.java    extra_types:[]

filename:xstream_class_4.java    extra_types:[]

filename:xstream_class_40.java    extra_types:[]

filename:xstream_class_41.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_42.java    extra_types:[]

filename:xstream_class_43.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_44.java    extra_types:[]

filename:xstream_class_5.java    extra_types:[]

filename:xstream_class_6.java    extra_types:[]

filename:xstream_class_7.java    extra_types:[]

filename:xstream_class_8.java    extra_types:[]

filename:xstream_class_9.java    extra_types:[]

filename:xstream_class_20.java    extra_types:[]

filename:xstream_class_35.java    extra_types:[]

