Android47.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Activity,android.app.Activity,android.app.Activity,1,-,-,0,1
Bundle,java.util.Bundle,android.os.Bundle,0,-,-,0,0
DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,1,-,-,0,1
new DefaultHttpClient(),org.apache.http.impl.client.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,1,-,-,0,1
HttpGet,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,-,-,0,1
new HttpGet,org.apache.http.client.methods.HttpGet,org.apache.http.client.methods.HttpGet,1,-,-,0,1
TextView,android.widget.TextView,android.widget.TextView,1,-,-,0,1
ClientProtocolException,com.google.gwt.mobile.client.ClientProtocolException,org.apache.http.client.ClientProtocolException,0,-,-,0,0
IOException,java.io.IOException,java.io.IOException,1,-,-,0,1
dl_correct:7,dl_accuracy:0.7778,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:9,total correct:7,total accuracy:0.7778
