gwt_class_37.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
EntryPoint,com.google.gwt.core.client.EntryPoint,com.google.gwt.core.client.EntryPoint,1,-,-,0,1
RequestException,com.google.gwt.http.client.RequestException,com.google.gwt.http.client.RequestException,1,-,-,0,1
RequestBuilder,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,-,-,0,1
new RequestBuilder,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,-,-,0,1
URL,java.net.URL,com.google.gwt.http.client.URL,0,-,-,0,0
new RequestCallback(),com.google.gwt.http.client.RequestCallback,com.google.gwt.http.client.RequestCallback,1,-,-,0,1
JsArray,com.google.gwt.core.client.JsArray,com.google.gwt.core.client.JsArray,1,-,-,0,1
Widget,com.google.gwt.user.client.ui.Widget,com.google.gwt.user.client.ui.Widget,1,-,-,0,1
RootPanel,com.google.gwt.user.client.ui.RootPanel,com.google.gwt.user.client.ui.RootPanel,1,-,-,0,1
new HTML,com.google.gwt.user.client.ui.HTML,com.google.gwt.user.client.ui.HTML,1,-,-,0,1
dl_correct:9,dl_accuracy:0.9,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:10,total correct:9,total accuracy:0.9
