hibernate_class_26.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,-,-,0,1
Session,org.hibernate.Session,org.hibernate.Session,1,-,-,0,1
Query,org.hibernate.orm.test.hql.Query,org.hibernate.Query,0,-,-,0,0
List,java.util.List,java.util.List,1,-,-,0,1
AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,-,-,0,1
new AnnotationConfiguration(),org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,-,-,0,1
new SchemaExport,org.hibernate.tool.schema.internal.SchemaExport,org.hibernate.tool.hbm2ddl.SchemaExport,0,-,-,0,0
Id,jakarta.persistence.Id,javax.persistence.Id,0,-,-,0,0
GeneratedValue,jakarta.persistence.GeneratedValue,javax.persistence.GeneratedValue,0,-,-,0,0
OneToOne,jakarta.persistence.OneToOne,javax.persistence.OneToOne,0,-,-,0,0
Fetch,org.hibernate.annotations.Fetch,org.hibernate.annotations.Fetch,1,-,-,0,1
Entity,jakarta.persistence.Entity,javax.persistence.Entity,0,-,-,0,0
dl_correct:6,dl_accuracy:0.5,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:12,total correct:6,total accuracy:0.5
