hibernate_class_28.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Entity,org.hibernate.annotations.Entity,javax.persistence.Entity,0,org.hibernate.annotations.Entity,javax.persistence.Entity,0,0
Serializable,java.io.Serializable,java.io.Serializable,1,java.io.Serializable,java.io.Serializable,1,1
Id,jakarta.persistence.Id,javax.persistence.Id,0,javax.persistence.Id,javax.persistence.Id,1,1
GeneratedValue,org.hibernate.annotations.GeneratedValue,javax.persistence.GeneratedValue,0,javax.persistence.GeneratedValue,javax.persistence.GeneratedValue,1,1
ManyToOne,jakarta.persistence.ManyToOne,javax.persistence.ManyToOne,0,javax.persistence.ManyToOne,javax.persistence.ManyToOne,1,1
JoinColumn,org.hibernate.annotations.JoinColumn,javax.persistence.JoinColumn,0,javax.persistence.JoinColumn,javax.persistence.JoinColumn,1,1
User,org.hibernate.annotations.User,library.model.User,0,library.model.User,library.model.User,1,1
OneToMany,org.hibernate.annotations.OneToMany,javax.persistence.OneToMany,0,javax.persistence.OneToMany,javax.persistence.OneToMany,1,1
IndexColumn,org.hibernate.annotations.IndexColumn,org.hibernate.annotations.IndexColumn,1,org.hibernate.annotations.IndexColumn,org.hibernate.annotations.IndexColumn,1,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
Column,jakarta.persistence.Column,javax.persistence.Column,0,javax.persistence.Column,javax.persistence.Column,1,1
dl_correct:4,dl_accuracy:0.3333,,rule_correct:11,rule_checked:12,rule_accuracy:0.9167,rule_recall:0.9167
checked:12,total correct:11,total accuracy:0.9167
