Class_20.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1,-,-,0,1
new DataInputStream,java.io.DataInputStream,java.io.DataInputStream,1,-,-,0,1
new BufferedInputStream,java.io.BufferedInputStream,java.io.BufferedInputStream,1,-,-,0,1
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1,java.io.DataOutputStream,java.io.DataOutputStream,1,1
DataOutputStream,java.io.DataOutputStream,java.io.DataOutputStream,1,java.io.DataOutputStream,java.io.DataOutputStream,1,1
BufferedOutputStream,java.io.BufferedOutputStream,java.io.BufferedOutputStream,1,java.io.BufferedOutputStream,java.io.BufferedOutputStream,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
File,java.io.File,java.io.File,1,java.io.File,java.io.File,1,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1,java.io.FileOutputStream,java.io.FileOutputStream,1,1
FileOutputStream,java.io.FileOutputStream,java.io.FileOutputStream,1,java.io.FileOutputStream,java.io.FileOutputStream,1,1
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1,java.io.FileInputStream,java.io.FileInputStream,1,1
FileInputStream,java.io.FileInputStream,java.io.FileInputStream,1,java.io.FileInputStream,java.io.FileInputStream,1,1
dl_correct:15,dl_accuracy:1.0,,rule_correct:12,rule_checked:12,rule_accuracy:1.0,rule_recall:0.8
checked:15,total correct:15,total accuracy:1.0
