filename:xstream_class_1.java    extra_types:['com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'antlr/CommonAST', 'javax/transaction/Transaction', 'java/util/Collections$UnmodifiableSet', 'java/util/Collections$CheckedCollection', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'org/apache/commons/lang3/time/DateParser', 'com/google/common/collect/AbstractTable', 'org/springframework/beans/factory/BeanClassLoaderAware', 'java/lang/Comparable', 'org/eclipse/core/runtime/PlatformObject', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'org/eclipse/core/runtime/IAdaptable', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/common/collect/Maps$KeySet', 'com/google/common/collect/AbstractRangeSet', 'com/google/common/collect/Synchronized$SynchronizedObject', 'com/google/common/reflect/TypeCapture', 'com/google/common/collect/SortedMultisetBridge', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'com/google/common/collect/Collections2$TransformedCollection', 'com/google/common/collect/AbstractListMultimap', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'org/eclipse/core/resources/IProjectNature', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'com/google/common/reflect/Element', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'java/time/chrono/ChronoLocalDateImpl', 'sun/print/AttributeUpdater', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/SortedIterable', 'com/sun/java/util/jar/pack/CodingMethod', 'org/apache/commons/lang3/time/DatePrinter', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'org/eclipse/core/resources/IStorage', 'com/google/gwt/thirdparty/guava/common/reflect/Element']

filename:xstream_class_10.java    extra_types:['org/relaxng/datatype/ValidationContext', 'com/sun/org/apache/xml/internal/serializer/ExtendedLexicalHandler', 'com/sun/org/apache/xml/internal/serializer/ExtendedContentHandler', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'com/sun/org/apache/xml/internal/serializer/SerializerConstants', 'com/sun/org/apache/xml/internal/serializer/XSLOutputAttributes', 'com/sun/msv/datatype/SerializationContext']

filename:xstream_class_11.java    extra_types:[]

filename:xstream_class_12.java    extra_types:[]

filename:xstream_class_13.java    extra_types:[]

filename:xstream_class_14.java    extra_types:[]

filename:xstream_class_15.java    extra_types:['org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod']

filename:xstream_class_16.java    extra_types:[]

filename:xstream_class_17.java    extra_types:[]

filename:xstream_class_18.java    extra_types:[]

filename:xstream_class_19.java    extra_types:[]

filename:xstream_class_2.java    extra_types:[]

filename:xstream_class_20.java    extra_types:[]

filename:xstream_class_21.java    extra_types:[]

filename:xstream_class_22.java    extra_types:[]

filename:xstream_class_23.java    extra_types:[]

filename:xstream_class_24.java    extra_types:[]

filename:xstream_class_25.java    extra_types:[]

filename:xstream_class_26.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_27.java    extra_types:[]

filename:xstream_class_28.java    extra_types:[]

filename:xstream_class_29.java    extra_types:[]

filename:xstream_class_3.java    extra_types:[]

filename:xstream_class_30.java    extra_types:[]

filename:xstream_class_31.java    extra_types:[]

filename:xstream_class_32.java    extra_types:[]

filename:xstream_class_33.java    extra_types:[]

filename:xstream_class_34.java    extra_types:['com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/sun/org/apache/xalan/internal/xsltc/compiler/TopLevelElement', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'com/sun/xml/internal/ws/model/wsdl/AbstractObjectImpl', 'com/google/gwt/dev/PrecompileTaskArgProcessor', 'antlr/CommonAST', 'org/eclipse/jetty/util/log/Logger', 'org/eclipse/jdt/internal/core/MemberElementInfo', 'javax/servlet/jsp/tagext/BodyTagSupport', 'com/google/gwt/dev/javac/typemodel/JDelegatingClassType', 'javax/transaction/Transaction', 'java/util/Collections$UnmodifiableSet', 'java/util/Collections$CheckedCollection', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'org/apache/commons/lang3/time/DateParser', 'org/objectweb/asm/FieldVisitor', 'com/google/common/collect/AbstractTable', 'sun/awt/X11/XWrapperBase', 'org/springframework/beans/factory/BeanClassLoaderAware', 'java/lang/Comparable', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Expression', 'java/util/zip/ZipConstants', 'org/eclipse/core/runtime/PlatformObject', 'com/google/gwt/user/rebind/rpc/TypeFilter', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'org/eclipse/core/runtime/IAdaptable', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/common/collect/Maps$KeySet', 'com/google/common/collect/AbstractRangeSet', 'com/google/common/collect/Synchronized$SynchronizedObject', 'com/google/common/reflect/TypeCapture', 'com/google/common/collect/SortedMultisetBridge', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'com/google/common/collect/Collections2$TransformedCollection', 'com/google/common/collect/AbstractListMultimap', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'sun/security/jgss/krb5/Krb5CredElement', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/gwt/dev/PermutationWorker', 'org/eclipse/core/resources/IProjectNature', 'com/sun/xml/internal/bind/v2/model/impl/TypeInfoImpl', 'com/google/common/collect/StandardRowSortedTable', 'com/sun/xml/internal/ws/model/wsdl/AbstractExtensibleImpl', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'org/hibernate/annotations/common/reflection/java/JavaXAnnotatedElement', 'com/google/common/reflect/Element', 'javax/servlet/jsp/tagext/TagSupport', 'com/google/gwt/dev/CompileArgProcessor', 'org/objectweb/asm/MethodVisitor', 'com/google/gwt/dev/javac/typemodel/JMaybeParameterizedType', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'com/sun/org/apache/xalan/internal/xsltc/compiler/QName', 'com/sun/xml/internal/ws/model/wsdl/AbstractFeaturedObjectImpl', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/gwt/user/rebind/ui/ImageBundleBuilder$HasRect', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'java/time/chrono/ChronoLocalDateImpl', 'sun/print/AttributeUpdater', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'javax/swing/TransferHandler$HasGetTransferHandler', 'org/apache/commons/beanutils/DynaClass', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/SortedIterable', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'com/sun/java/util/jar/pack/CodingMethod', 'org/apache/commons/lang3/time/DatePrinter', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'org/eclipse/core/resources/IStorage', 'com/google/gwt/thirdparty/guava/common/reflect/Element']

filename:xstream_class_35.java    extra_types:[]

filename:xstream_class_36.java    extra_types:[]

filename:xstream_class_37.java    extra_types:[]

filename:xstream_class_38.java    extra_types:[]

filename:xstream_class_39.java    extra_types:[]

filename:xstream_class_4.java    extra_types:[]

filename:xstream_class_40.java    extra_types:[]

filename:xstream_class_41.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_42.java    extra_types:[]

filename:xstream_class_43.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_44.java    extra_types:[]

filename:xstream_class_5.java    extra_types:[]

filename:xstream_class_6.java    extra_types:[]

filename:xstream_class_7.java    extra_types:[]

filename:xstream_class_8.java    extra_types:[]

filename:xstream_class_9.java    extra_types:[]

