hibernate_class_15.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Date,java.util.Date,java.util.Date,1,java.util.Date,java.util.Date,1,1
Blob,java.sql.Blob,java.sql.Blob,1,-,-,0,1
Hibernate,org.hibernate.Hibernate,org.hibernate.Hibernate,1,-,-,0,1
ByteArrayOutputStream,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,1
new ByteArrayOutputStream(),java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,1
SQLException,java.sql.SQLException,java.sql.SQLException,1,java.sql.SQLException,java.sql.SQLException,1,1
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
InputStream,java.io.InputStream,java.io.InputStream,1,java.io.InputStream,java.io.InputStream,1,1
dl_correct:8,dl_accuracy:1.0,,rule_correct:6,rule_checked:6,rule_accuracy:1.0,rule_recall:0.75
checked:8,total correct:8,total accuracy:1.0
