filename:xstream_class_1.java    extra_types:['sun/print/AttributeUpdater', 'com/google/common/collect/Maps$KeySet', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'org/springframework/beans/factory/InitializingBean', 'com/google/common/collect/AbstractListMultimap', 'javax/transaction/Transaction', 'com/google/common/collect/AbstractTable', 'org/eclipse/core/resources/IProjectNature', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/collect/SortedMultisetBridge', 'org/springframework/beans/factory/BeanClassLoaderAware', 'java/lang/Comparable', 'org/apache/commons/lang3/time/DatePrinter', 'java/util/Collections$UnmodifiableSet', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/reflect/Element', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/SortedIterable', 'com/google/common/collect/Collections2$TransformedCollection', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'antlr/CommonAST', 'org/eclipse/core/runtime/IAdaptable', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'org/eclipse/core/resources/IStorage', 'com/google/common/collect/Synchronized$SynchronizedSet', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'com/google/common/collect/Synchronized$SynchronizedObject', 'java/util/Collections$CheckedCollection', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/reflect/TypeCapture', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable']

filename:xstream_class_10.java    extra_types:['org/relaxng/datatype/ValidationContext', 'com/sun/org/apache/xml/internal/serializer/ExtendedLexicalHandler', 'com/sun/msv/datatype/SerializationContext', 'com/sun/org/apache/xml/internal/serializer/SerializerConstants', 'com/sun/org/apache/xml/internal/serializer/XSLOutputAttributes', 'com/sun/org/apache/xml/internal/serializer/ExtendedContentHandler', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction']

filename:xstream_class_11.java    extra_types:[]

filename:xstream_class_12.java    extra_types:[]

filename:xstream_class_13.java    extra_types:[]

filename:xstream_class_14.java    extra_types:[]

filename:xstream_class_15.java    extra_types:['org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod']

filename:xstream_class_16.java    extra_types:[]

filename:xstream_class_17.java    extra_types:[]

filename:xstream_class_18.java    extra_types:[]

filename:xstream_class_19.java    extra_types:[]

filename:xstream_class_2.java    extra_types:[]

filename:xstream_class_20.java    extra_types:[]

filename:xstream_class_21.java    extra_types:[]

filename:xstream_class_22.java    extra_types:[]

filename:xstream_class_23.java    extra_types:[]

filename:xstream_class_24.java    extra_types:[]

filename:xstream_class_25.java    extra_types:[]

filename:xstream_class_26.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_27.java    extra_types:[]

filename:xstream_class_28.java    extra_types:[]

filename:xstream_class_29.java    extra_types:[]

filename:xstream_class_3.java    extra_types:[]

filename:xstream_class_30.java    extra_types:[]

filename:xstream_class_31.java    extra_types:[]

filename:xstream_class_32.java    extra_types:[]

filename:xstream_class_33.java    extra_types:[]

