xstream_class_17.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
new XStream(),com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
XStreamAlias,com.sun.org.apache.xerces.internal.xni.parser.XStreamAlias,com.thoughtworks.xstream.annotations.XStreamAlias,0,com.thoughtworks.xstream.annotations.XStreamAlias,com.thoughtworks.xstream.annotations.XStreamAlias,1,1
Converter,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,1
HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,1
MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,1
HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,1
UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,1
dl_correct:7,dl_accuracy:0.875,,rule_correct:8,rule_checked:8,rule_accuracy:1.0,rule_recall:1.0
checked:8,total correct:8,total accuracy:1.0
