xstream_class_21.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Converter,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,1
Map,java.util.Map,java.util.Map,1,java.util.Map,java.util.Map,1,1
Mapper,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1,1
ReflectionProvider,com.thoughtworks.xstream.converters.reflection.ReflectionProvider,com.thoughtworks.xstream.converters.reflection.ReflectionProvider,1,com.thoughtworks.xstream.converters.reflection.ReflectionProvider,com.thoughtworks.xstream.converters.reflection.ReflectionProvider,1,1
HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,1
MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,1
ReflectionConverter,com.thoughtworks.xstream.converters.reflection.ReflectionConverter,com.thoughtworks.xstream.converters.reflection.ReflectionConverter,1,com.thoughtworks.xstream.converters.reflection.ReflectionConverter,com.thoughtworks.xstream.converters.reflection.ReflectionConverter,1,1
HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,1
UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,1
dl_correct:9,dl_accuracy:1.0,,rule_correct:9,rule_checked:9,rule_accuracy:1.0,rule_recall:1.0
checked:9,total correct:9,total accuracy:1.0
