filename:xstream_class_1.java    extra_types:['com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/common/collect/AbstractTable', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'org/apache/commons/lang3/time/DatePrinter', 'com/google/common/collect/SortedMultisetBridge', 'org/eclipse/jdt/internal/core/BinaryField', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'java/util/Collections$CheckedCollection', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'com/google/common/reflect/Element', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'com/google/common/collect/Collections2$TransformedCollection', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/common/collect/Maps$KeySet', 'java/util/Collections$UnmodifiableSet', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'org/apache/commons/lang3/time/DateParser', 'com/sun/java/util/jar/pack/CodingMethod', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'java/lang/Comparable', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'antlr/CommonAST', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/common/collect/AbstractListMultimap', 'org/eclipse/core/runtime/IAdaptable', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase', 'com/google/common/reflect/TypeCapture', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/SortedIterable', 'javax/transaction/Transaction', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'sun/print/AttributeUpdater', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/AbstractRangeSet', 'com/google/common/collect/Synchronized$SynchronizedObject', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'org/eclipse/core/resources/IProjectNature', 'org/eclipse/core/resources/IStorage']

filename:xstream_class_10.java    extra_types:['com/sun/org/apache/xml/internal/serializer/ExtendedLexicalHandler', 'com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'com/sun/org/apache/xml/internal/serializer/ExtendedContentHandler', 'com/sun/msv/datatype/SerializationContext', 'org/relaxng/datatype/ValidationContext', 'com/sun/org/apache/xml/internal/serializer/SerializerConstants', 'com/sun/org/apache/xml/internal/serializer/XSLOutputAttributes']

filename:xstream_class_11.java    extra_types:[]

filename:xstream_class_12.java    extra_types:[]

filename:xstream_class_13.java    extra_types:[]

filename:xstream_class_14.java    extra_types:[]

filename:xstream_class_15.java    extra_types:['org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod']

filename:xstream_class_16.java    extra_types:[]

filename:xstream_class_17.java    extra_types:[]

filename:xstream_class_18.java    extra_types:[]

filename:xstream_class_19.java    extra_types:[]

filename:xstream_class_2.java    extra_types:[]

filename:xstream_class_20.java    extra_types:[]

filename:xstream_class_21.java    extra_types:[]

filename:xstream_class_22.java    extra_types:[]

filename:xstream_class_23.java    extra_types:[]

filename:xstream_class_24.java    extra_types:[]

filename:xstream_class_25.java    extra_types:[]

filename:xstream_class_26.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_27.java    extra_types:[]

filename:xstream_class_28.java    extra_types:[]

filename:xstream_class_29.java    extra_types:[]

filename:xstream_class_3.java    extra_types:[]

filename:xstream_class_30.java    extra_types:[]

filename:xstream_class_31.java    extra_types:[]

filename:xstream_class_32.java    extra_types:[]

filename:xstream_class_33.java    extra_types:[]

