Android30.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
HttpHost,java.net.HttpHost,org.apache.http.HttpHost,0,-,-,0,0
new HttpHost,java.net.HttpHost,org.apache.http.HttpHost,0,-,-,0,0
HttpGet,org.apache.http.HttpGet,org.apache.http.client.methods.HttpGet,0,-,-,0,0
new HttpGet,java.net.HttpGet,org.apache.http.client.methods.HttpGet,0,-,-,0,0
HttpEntity,org.apache.http.HttpEntity,org.apache.http.HttpEntity,1,-,-,0,1
HttpClient,java.net.HttpClient,org.apache.http.client.HttpClient,0,-,-,0,0
new DefaultHttpClient(),java.net.DefaultHttpClient,org.apache.http.impl.client.DefaultHttpClient,0,-,-,0,0
HttpResponse,org.apache.http.HttpResponse,org.apache.http.HttpResponse,1,-,-,0,1
EntityUtils,java.net.EntityUtils,org.apache.http.util.EntityUtils,0,-,-,0,0
IOException,java.io.IOException,java.io.IOException,1,-,-,0,1
dl_correct:3,dl_accuracy:0.3,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:10,total correct:3,total accuracy:0.3
