gwt_class_43.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Composite,com.google.gwt.user.client.ui.Composite,com.google.gwt.user.client.ui.Composite,1,-,-,0,1
ClickHandler,com.google.gwt.event.dom.client.ClickHandler,com.google.gwt.event.dom.client.ClickHandler,1,-,-,0,1
MouseOutHandler,com.google.gwt.event.dom.client.MouseOutHandler,com.google.gwt.event.dom.client.MouseOutHandler,1,-,-,0,1
Label,java.awt.Label,com.google.gwt.user.client.ui.Label,0,-,-,0,0
HorizontalPanel,com.google.gwt.user.client.ui.HorizontalPanel,com.google.gwt.user.client.ui.HorizontalPanel,1,-,-,0,1
ClickEvent,com.google.gwt.event.dom.client.ClickEvent,com.google.gwt.event.dom.client.ClickEvent,1,-,-,0,1
Widget,com.google.gwt.user.client.ui.Widget,com.google.gwt.user.client.ui.Widget,1,-,-,0,1
MouseOutEvent,com.google.gwt.event.dom.client.MouseOutEvent,com.google.gwt.event.dom.client.MouseOutEvent,1,-,-,0,1
dl_correct:7,dl_accuracy:0.875,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:8,total correct:7,total accuracy:0.875
