HibernateUtil.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,1
new AnnotationConfiguration(),org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,1
dl_correct:2,dl_accuracy:1.0,,rule_correct:2,rule_checked:2,rule_accuracy:1.0,rule_recall:1.0
checked:2,total correct:2,total accuracy:1.0

hibernate_class_1.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
UserDAO,org.hibernate.orm.test.leggraph.UserDAO,library.dao.UserDAO,0,-,-,0,0
SessionFactory,org.hibernate.engine.spi.SessionFactory,org.hibernate.SessionFactory,0,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,1
AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,1
new AnnotationConfiguration(),org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,1
User,java.lang.User,library.model.User,0,-,-,0,0
Session,org.hibernate.Session,org.hibernate.Session,1,org.hibernate.Session,org.hibernate.Session,1,1
Transaction,org.hibernate.Transaction,org.hibernate.Transaction,1,org.hibernate.Transaction,org.hibernate.Transaction,1,1
dl_correct:4,dl_accuracy:0.5714,,rule_correct:5,rule_checked:5,rule_accuracy:1.0,rule_recall:0.7143
checked:7,total correct:5,total accuracy:0.7143

hibernate_class_10.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Serializable,java.io.Serializable,java.io.Serializable,1,java.io.Serializable,java.io.Serializable,1,1
Session,org.hibernate.Session,org.hibernate.Session,1,org.hibernate.Session,org.hibernate.Session,1,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
dl_correct:3,dl_accuracy:1.0,,rule_correct:3,rule_checked:3,rule_accuracy:1.0,rule_recall:1.0
checked:3,total correct:3,total accuracy:1.0

hibernate_class_12.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Session,org.hibernate.Session,org.hibernate.Session,1,-,-,0,1
SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,-,-,0,1
new Configuration(),org.hibernate.cfg.Configuration,org.hibernate.cfg.Configuration,1,-,-,0,1
FacesContext,org.hibernate.orm.test.jations.jaces.FacesContext,javax.faces.context.FacesContext,0,-,-,0,0
Transaction,org.hibernate.Transaction,org.hibernate.Transaction,1,-,-,0,1
dl_correct:4,dl_accuracy:0.8,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:5,total correct:4,total accuracy:0.8

hibernate_class_15.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Date,java.util.Date,java.util.Date,1,-,-,0,1
Blob,java.sql.Blob,java.sql.Blob,1,-,-,0,1
Hibernate,org.hibernate.engine.jdbc.Hibernate,org.hibernate.Hibernate,0,-,-,0,0
ByteArrayOutputStream,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,-,-,0,1
new ByteArrayOutputStream(),java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,-,-,0,1
SQLException,java.sql.SQLException,java.sql.SQLException,1,-,-,0,1
IOException,java.io.IOException,java.io.IOException,1,-,-,0,1
InputStream,java.io.InputStream,java.io.InputStream,1,-,-,0,1
dl_correct:7,dl_accuracy:0.875,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:8,total correct:7,total accuracy:0.875

hibernate_class_16.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
Event,org.hibernate.orm.test.type.Event,java.awt.Event,0,java.lang.Object,java.awt.Event,0,0
dl_correct:1,dl_accuracy:0.5,,rule_correct:1,rule_checked:2,rule_accuracy:0.5,rule_recall:0.5
checked:2,total correct:1,total accuracy:0.5

hibernate_class_18.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,1
Configuration,java.io.Map.Configuration,org.hibernate.cfg.Configuration,0,org.hibernate.cfg.Configuration,org.hibernate.cfg.Configuration,1,1
new Configuration(),org.hibernate.cfg.Configuration,org.hibernate.cfg.Configuration,1,org.hibernate.cfg.Configuration,org.hibernate.cfg.Configuration,1,1
dl_correct:2,dl_accuracy:0.6667,,rule_correct:3,rule_checked:3,rule_accuracy:1.0,rule_recall:1.0
