Class_11.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
File,java.io.File,java.io.File,1,-,-,0,1
new File,java.io.File,java.io.File,1,-,-,0,1
FileWriter,java.io.FileWriter,java.io.FileWriter,1,-,-,0,1
new FileWriter,java.io.FileWriter,java.io.FileWriter,1,-,-,0,1
BufferedWriter,java.io.BufferedWriter,java.io.BufferedWriter,1,-,-,0,1
new BufferedWriter,java.io.BufferedWriter,java.io.BufferedWriter,1,-,-,0,1
JFileChooser,javax.swing.JFileChooser,javax.swing.JFileChooser,1,-,-,0,1
new JFileChooser(),javax.swing.JFileChooser,javax.swing.JFileChooser,1,-,-,0,1
dl_correct:8,dl_accuracy:1.0,,rule_correct:0,rule_checked:0,rule_accuracy:0,rule_recall:0.0
checked:8,total correct:8,total accuracy:1.0
