xstream_class_33.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_truth
XStream,java.io.XStream,com.thoughtworks.xstream.XStream,0,com.thoughtworks.xstream.XStream
XStream,java.io.XStream,com.thoughtworks.xstream.XStream,0,com.thoughtworks.xstream.XStream
new DomDriver(),com.thoughtworks.xstream.io.client.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,0,com.thoughtworks.xstream.io.xml.DomDriver
ActionMessage,java.os.ActionMessage,flex.messaging.io.amf.ActionMessage,0,flex.messaging.io.amf.ActionMessage
MessageHeader,android.os.MessageHeader,flex.messaging.io.amf.MessageHeader,0,flex.messaging.io.amf.MessageHeader
MessageBody,android.os.MessageBody,flex.messaging.io.amf.MessageBody,0,flex.messaging.io.amf.MessageBody
RemotingMessage,com.thoughtworks.acceptance.objects.RemotingMessage,flex.messaging.messages.RemotingMessage,0,flex.messaging.messages.RemotingMessage
CommandMessage,android.os.CommandMessage,flex.messaging.messages.CommandMessage,0,flex.messaging.messages.CommandMessage
AcknowledgeMessage,android.os.AcknowledgeMessage,flex.messaging.messages.AcknowledgeMessage,0,flex.messaging.messages.AcknowledgeMessage
ErrorMessage,com.thoughtworks.acceptance.Aliasobjects.ErrorMessage,flex.messaging.messages.ErrorMessage,0,flex.messaging.messages.ErrorMessage
ASObject,com.thoughtworks.acceptance.Alias.CommandClassTest.ASObject,flex.messaging.io.amf.ASObject,0,flex.messaging.io.amf.ASObject
AsyncMessage,android.os.AsyncMessage,flex.messaging.messages.AsyncMessage,0,flex.messaging.messages.AsyncMessage
CommandMessageExt,com.thoughtworks.xstream.io.json.JsonHierarchicalStreamFactoryTest.CommandMessageExt,flex.messaging.messages.CommandMessageExt,0,flex.messaging.messages.CommandMessageExt
AcknowledgeMessageExt,com.thoughtworks.acceptance.Aliasobjects.AcknowledgeMessageExt,flex.messaging.messages.AcknowledgeMessageExt,0,flex.messaging.messages.AcknowledgeMessageExt
Mapper,com.thoughtworks.xstream.mapper.Mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,0,com.thoughtworks.xstream.mapper.Mapper
