hibernate_class_26.java
Node,SNR_pred,SNR_truth,SNR_correct
SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1
Session,org.hibernate.Session,org.hibernate.Session,1
Query,org.hibernate.Query,org.hibernate.Query,1
List,java.util.List,java.util.List,1
AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1
new AnnotationConfiguration(),org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1
SchemaExport,org.hibernate.tool.hbm2ddl.SchemaExport,org.hibernate.tool.hbm2ddl.SchemaExport,1
Id,javax.persistence.Id,javax.persistence.Id,1
GeneratedValue,javax.persistence.GeneratedValue,javax.persistence.GeneratedValue,1
OneToOne,javax.persistence.OneToOne,javax.persistence.OneToOne,1
Fetch,org.hibernate.annotations.Fetch,org.hibernate.annotations.Fetch,1
Entity,org.hibernate.annotations.Entity,javax.persistence.Entity,0
