Class_21.java
Node,SNR_pred,SNR_truth,SNR_correct
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1
Component,java.awt.Component,java.awt.Component,1
BufferedImage,java.awt.image.BufferedImage,java.awt.image.BufferedImage,1
JFrame,javax.swing.JFrame,javax.swing.JFrame,1
JFrame,javax.swing.JFrame,javax.swing.JFrame,1
JMenuItem,javax.swing.JMenuItem,javax.swing.JMenuItem,1
JMenuItem,javax.swing.JMenuItem,javax.swing.JMenuItem,1
KeyStroke,javax.swing.KeyStroke,javax.swing.KeyStroke,1
KeyEvent,java.awt.event.KeyEvent,java.awt.event.KeyEvent,1
InputEvent,java.awt.event.InputEvent,java.awt.event.InputEvent,1
ActionListener,java.awt.event.ActionListener,java.awt.event.ActionListener,1
JMenu,javax.swing.JMenu,javax.swing.JMenu,1
JMenu,javax.swing.JMenu,javax.swing.JMenu,1
JMenuBar,javax.swing.JMenuBar,javax.swing.JMenuBar,1
new JMenuBar(),javax.swing.JMenuBar,javax.swing.JMenuBar,1
JPanel,javax.swing.JPanel,javax.swing.JPanel,1
JPanel,javax.swing.JPanel,javax.swing.JPanel,1
BorderLayout,java.awt.BorderLayout,java.awt.BorderLayout,1
TitledBorder,javax.swing.border.TitledBorder,javax.swing.border.TitledBorder,1
JScrollPane,javax.swing.JScrollPane,javax.swing.JScrollPane,1
new JTree(),javax.swing.JTree,javax.swing.JTree,1
BorderLayout,java.awt.BorderLayout,java.awt.BorderLayout,1
JTextArea,javax.swing.JTextArea,javax.swing.JTextArea,1
SwingUtilities,javax.swing.SwingUtilities,javax.swing.SwingUtilities,1
