xstream_class_8.java
Node,SNR_pred,SNR_truth,SNR_correct
Activity,android.app.Activity,android.app.Activity,1
TextView,android.widget.TextView,android.widget.TextView,1
Bundle,android.os.Bundle,android.os.Bundle,1
SoapObject,org.ksoap2.serialization.SoapObject,org.ksoap2.serialization.SoapObject,1
SoapObject,org.ksoap2.serialization.SoapObject,org.ksoap2.serialization.SoapObject,1
SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,1
SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,org.ksoap2.serialization.SoapSerializationEnvelope,1
SoapEnvelope,org.ksoap2.SoapEnvelope,org.ksoap2.SoapEnvelope,1
HttpTransportSE,org.ksoap2.transport.HttpTransportSE,org.ksoap2.transport.HttpTransportSE,1
HttpTransportSE,org.ksoap2.transport.HttpTransportSE,org.ksoap2.transport.HttpTransportSE,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1
new DomDriver(),com.thoughtworks.xstream.io.xml.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,1
