lib,file_name,MLM_precision,SnR_precision,SnR_recall
android,Android01.csv,0.75,1,1
android,Android02.csv,0.5,1,1
android,Android03.csv,0,1,1
android,Android04.csv,0.75,1,1
android,Android05.csv,0.3333,1,1
android,Android06.csv,1,1,1
android,Android07.csv,0.8,1,1
android,Android08.csv,1,1,1
android,Android09.csv,0.75,1,1
android,Android10.csv,1,1,1
android,Android11.csv,0.5714,1,1
android,Android13.csv,0.9,1,1
android,Android14.csv,1,1,0.9091
android,Android16.csv,0.8333,1,0.8333
android,Android17.csv,0.5833,1,1
android,Android18.csv,0.6,0.8,0.8
android,Android19.csv,1,1,1
android,Android21.csv,1,1,1
android,Android23.csv,0.9412,1,1
android,Android25.csv,0.6667,1,1
android,Android26.csv,0.8333,1,1
android,Android27.csv,1,1,1
android,Android28.csv,1,1,1
android,Android30.csv,0.3,0,0
android,Android32.csv,0.8571,1,0.8571
android,Android34.csv,0.6667,1,1
android,Android35.csv,1,1,1
android,Android36.csv,0.6667,1,1
android,Android37.csv,1,1,1
android,Android38.csv,1,1,1
android,Android39.csv,0.125,1,1
android,Android40.csv,0.6,1,1
android,Android43.csv,0.3,1,1
android,Android44.csv,1,1,1
android,Android46.csv,0.75,0,0
android,Android47.csv,0.3333,1,0.7778
android,Android48.csv,0,1,1
android,Android50.csv,0.8,1,1
gwt,gwt_class_1.csv,1,1,1
gwt,gwt_class_10.csv,1,1,1
gwt,gwt_class_11.csv,0.8333,1,0.8333
gwt,gwt_class_12.csv,0.6,1,0.9
gwt,gwt_class_13.csv,0.8571,1,0.8571
gwt,gwt_class_14.csv,0.75,1,1
gwt,gwt_class_15.csv,0.8333,1,1
gwt,gwt_class_16.csv,1,1,0.8
gwt,gwt_class_18.csv,0.5,1,1
gwt,gwt_class_19.csv,0.25,0,0
gwt,gwt_class_20.csv,1,1,0.8
gwt,gwt_class_21.csv,0.8333,1,1
gwt,gwt_class_22.csv,0.6667,1,1
gwt,gwt_class_23.csv,1,1,1
gwt,gwt_class_24.csv,0.8571,1,0.8571
gwt,gwt_class_27.csv,0.6667,1,0.8333
gwt,gwt_class_28.csv,1,1,1
gwt,gwt_class_29.csv,0.2,1,1
gwt,gwt_class_3.csv,0.75,1,0.375
gwt,gwt_class_30.csv,0.4286,1,1
gwt,gwt_class_31.csv,0.8,1,1
gwt,gwt_class_32.csv,0.8333,1,1
gwt,gwt_class_35.csv,0.8333,1,0.6667
gwt,gwt_class_36.csv,0.8,1,0.8
gwt,gwt_class_37.csv,0.9,1,0.7
gwt,gwt_class_38.csv,1,1,1
gwt,gwt_class_39.csv,1,1,1
gwt,gwt_class_4.csv,0.75,1,0.25
gwt,gwt_class_40.csv,0.6,0.4,0.4
gwt,gwt_class_41.csv,0.8889,0.875,0.7778
gwt,gwt_class_42.csv,0.8333,1,1
gwt,gwt_class_43.csv,0.875,0.875,0.875
gwt,gwt_class_44.csv,0.625,1,1
gwt,gwt_class_45.csv,1,1,0.1429
gwt,gwt_class_46.csv,1,1,0.8571
