lib,file_name,total_accuracy
android,ad10.csv,1
android,ad12.csv,1
android,ad15.csv,1
android,ad17.csv,1
android,ad18.csv,1
android,ad19.csv,1
android,ad20.csv,0.75
android,ad3.csv,1
android,ad5.csv,1
android,ad6.csv,1
android,ad8.csv,1
android,ad9.csv,0.5
gwt,gt1.csv,1
gwt,gt10.csv,1
gwt,gt11.csv,1
gwt,gt12.csv,0.5
gwt,gt13.csv,1
gwt,gt14.csv,1
gwt,gt15.csv,1
gwt,gt17.csv,0.8333
gwt,gt18.csv,1
gwt,gt2.csv,1
gwt,gt20.csv,1
gwt,gt3.csv,1
gwt,gt4.csv,1
gwt,gt5.csv,0
gwt,gt7.csv,1
gwt,gt8.csv,1
gwt,gt9.csv,0
hibernate,hb1.csv,1
hibernate,hb10.csv,0
hibernate,hb11.csv,1
hibernate,hb12.csv,0.75
hibernate,hb13.csv,0.6667
hibernate,hb14.csv,1
hibernate,hb15.csv,1
hibernate,hb16.csv,1
hibernate,hb17.csv,0.75
hibernate,hb18.csv,1
hibernate,hb19.csv,0.6667
hibernate,hb2.csv,1
hibernate,hb20.csv,1
hibernate,hb4.csv,1
hibernate,hb5.csv,1
hibernate,hb6.csv,1
hibernate,hb7.csv,1
hibernate,hb8.csv,1
hibernate,hb9.csv,1
joda_time,jt1.csv,1
joda_time,jt10.csv,1
joda_time,jt11.csv,1
joda_time,jt12.csv,1
joda_time,jt14.csv,1
joda_time,jt15.csv,1
joda_time,jt16.csv,1
joda_time,jt17.csv,1
joda_time,jt18.csv,1
joda_time,jt2.csv,1
joda_time,jt20.csv,1
joda_time,jt3.csv,1
joda_time,jt4.csv,1
joda_time,jt5.csv,1
joda_time,jt6.csv,1
joda_time,jt7.csv,1
joda_time,jt9.csv,1
jdk,jdk1.csv,1
jdk,jdk10.csv,1
jdk,jdk14.csv,1
jdk,jdk16.csv,1
jdk,jdk17.csv,1
jdk,jdk18.csv,0.8
jdk,jdk2.csv,1
jdk,jdk20.csv,1
jdk,jdk3.csv,1
jdk,jdk4.csv,1
jdk,jdk5.csv,1
jdk,jdk7.csv,1
jdk,jdk8.csv,1
jdk,jdk9.csv,1
xstream,xt1.csv,1
xstream,xt10.csv,0.7143
xstream,xt11.csv,1
xstream,xt12.csv,1
xstream,xt13.csv,0.5
xstream,xt14.csv,1
xstream,xt15.csv,1
xstream,xt16.csv,1
xstream,xt17.csv,1
xstream,xt18.csv,1
xstream,xt19.csv,1
xstream,xt2.csv,1
xstream,xt20.csv,1
xstream,xt3.csv,1
xstream,xt4.csv,0.75
xstream,xt5.csv,1
xstream,xt6.csv,1
xstream,xt7.csv,1
xstream,xt8.csv,0.6667
xstream,xt9.csv,1
