Android39.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
MapActivity,android.app.MapActivity,com.google.android.maps.MapActivity,0,com.google.android.maps.MapActivity,com.google.android.maps.MapActivity,1,1
Bundle,java.util.Bundle,android.os.Bundle,0,android.os.Bundle,android.os.Bundle,1,1
MapView,android.widget.MapView,com.google.android.maps.MapView,0,com.google.android.maps.MapView,com.google.android.maps.MapView,1,1
MapController,android.widget.MapController,com.google.android.maps.MapController,0,com.google.android.maps.MapController,com.google.android.maps.MapController,1,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
Overlay,android.widget.Overlay,com.google.android.maps.Overlay,0,com.google.android.maps.Overlay,com.google.android.maps.Overlay,1,1
MyLocationOverlay,android.swing.MyLocationOverlay,com.google.android.maps.MyLocationOverlay,0,com.google.android.maps.MyLocationOverlay,com.google.android.maps.MyLocationOverlay,1,1
MyLocationOverlay,sun.swing.MyLocationOverlay,com.google.android.maps.MyLocationOverlay,0,com.google.android.maps.MyLocationOverlay,com.google.android.maps.MyLocationOverlay,1,1
dl_correct:1,dl_accuracy:0.125,,rule_correct:8,rule_checked:8,rule_accuracy:1.0,rule_recall:1.0
checked:8,total correct:8,total accuracy:1.0
