hibernate_class_17.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,1
NamingException,org.axibernaming.NamingException,javax.naming.NamingException,0,javax.naming.NamingException,javax.naming.NamingException,1,1
Configuration,org.hibernate.cfg.Configuration,org.hibernate.cfg.Configuration,1,org.hibernate.cfg.Configuration,org.hibernate.cfg.Configuration,1,1
new Configuration(),org.hibernate.cfg.Configuration,org.hibernate.cfg.Configuration,1,org.hibernate.cfg.Configuration,org.hibernate.cfg.Configuration,1,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
ShardConfiguration,org.hibernate.orm.cfg.spi.ShardConfiguration,org.hibernate.shards.cfg.ShardConfiguration,0,org.hibernate.shards.cfg.ShardConfiguration,org.hibernate.shards.cfg.ShardConfiguration,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
ShardStrategyFactory,org.hibernate.boot.client.spi.ShardStrategyFactory,org.hibernate.shards.strategy.ShardStrategyFactory,0,org.hibernate.shards.strategy.ShardStrategyFactory,org.hibernate.shards.strategy.ShardStrategyFactory,1,1
ShardedConfiguration,org.hibernate.remote.cfg.spi.ShardedConfiguration,org.hibernate.shards.ShardedConfiguration,0,org.hibernate.shards.ShardedConfiguration,org.hibernate.shards.ShardedConfiguration,1,1
ShardedConfiguration,org.hibernate.remote.cfg.spi.ShardedConfiguration,org.hibernate.shards.ShardedConfiguration,0,org.hibernate.shards.ShardedConfiguration,org.hibernate.shards.ShardedConfiguration,1,1
ShardStrategyFactory,android.app.ShardStrategyFactory,org.hibernate.shards.strategy.ShardStrategyFactory,0,org.hibernate.shards.strategy.ShardStrategyFactory,org.hibernate.shards.strategy.ShardStrategyFactory,1,1
ConfigurationToShardConfigurationAdapter,sun.security.ConfigurationToShardConfigurationAdapter,org.hibernate.shards.cfg.ConfigurationToShardConfigurationAdapter,0,org.hibernate.shards.cfg.ConfigurationToShardConfigurationAdapter,org.hibernate.shards.cfg.ConfigurationToShardConfigurationAdapter,1,1
dl_correct:5,dl_accuracy:0.4167,,rule_correct:12,rule_checked:12,rule_accuracy:1.0,rule_recall:1.0
checked:12,total correct:12,total accuracy:1.0
