lib,file_name,total_accuracy
android,Android01.csv,1
android,Android02.csv,1
android,Android03.csv,1
android,Android04.csv,1
android,Android05.csv,1
android,Android06.csv,1
android,Android07.csv,1
android,Android08.csv,1
android,Android09.csv,1
android,Android10.csv,1
android,Android11.csv,1
android,Android13.csv,1
android,Android14.csv,1
android,Android16.csv,1
android,Android17.csv,1
android,Android18.csv,0.8
android,Android19.csv,1
android,Android21.csv,1
android,Android23.csv,1
android,Android25.csv,1
android,Android26.csv,1
android,Android27.csv,1
android,Android28.csv,1
android,Android30.csv,0.6
android,Android32.csv,1
android,Android34.csv,1
android,Android35.csv,1
android,Android36.csv,1
android,Android37.csv,1
android,Android38.csv,1
android,Android39.csv,1
android,Android40.csv,1
android,Android43.csv,1
android,Android44.csv,1
android,Android46.csv,0.75
android,Android47.csv,0.8889
android,Android48.csv,1
android,Android50.csv,1
gwt,gwt_class_1.csv,1
gwt,gwt_class_10.csv,1
gwt,gwt_class_11.csv,1
gwt,gwt_class_12.csv,1
gwt,gwt_class_13.csv,1
gwt,gwt_class_14.csv,1
gwt,gwt_class_15.csv,1
gwt,gwt_class_16.csv,1
gwt,gwt_class_18.csv,1
gwt,gwt_class_19.csv,0.25
gwt,gwt_class_20.csv,1
gwt,gwt_class_21.csv,1
gwt,gwt_class_22.csv,1
gwt,gwt_class_23.csv,1
gwt,gwt_class_24.csv,1
gwt,gwt_class_27.csv,1
gwt,gwt_class_28.csv,1
gwt,gwt_class_29.csv,1
gwt,gwt_class_3.csv,1
gwt,gwt_class_30.csv,1
gwt,gwt_class_31.csv,1
gwt,gwt_class_32.csv,1
gwt,gwt_class_35.csv,1
gwt,gwt_class_36.csv,1
gwt,gwt_class_37.csv,1
gwt,gwt_class_38.csv,1
gwt,gwt_class_39.csv,1
gwt,gwt_class_4.csv,1
gwt,gwt_class_40.csv,1
gwt,gwt_class_41.csv,1
gwt,gwt_class_42.csv,1
gwt,gwt_class_43.csv,0.75
gwt,gwt_class_44.csv,1
gwt,gwt_class_45.csv,1
gwt,gwt_class_46.csv,1
gwt,gwt_class_47.csv,1
gwt,gwt_class_48.csv,1
gwt,gwt_class_49.csv,1
gwt,gwt_class_5.csv,1
gwt,gwt_class_50.csv,1
gwt,gwt_class_6.csv,1
gwt,gwt_class_7.csv,1
gwt,gwt_class_8.csv,1
gwt,gwt_class_9.csv,1
hibernate,HibernateUtil.csv,1
