i=0, Short-SO, MLM, iJTyper Wilcoxon Statistic: 75.0
i=0, Short-SO, MLM, iJTyper P-value: 3.2224639158933458e-09
i=1, Short-SO, SnR, iJTyper Wilcoxon Statistic: 0.0
i=1, Short-SO, SnR, iJTyper P-value: 0.00027838559819647827
i=2, Short-SO, ChatGPT, iJTyper Wilcoxon Statistic: 69.5
i=2, Short-SO, ChatGPT, iJTyper P-value: 0.48405319728539475
i=0, StatType-SO, MLM, iJTyper Wilcoxon Statistic: 532.0
i=0, StatType-SO, MLM, iJTyper P-value: 2.0442167621708917e-36
i=1, StatType-SO, SnR, iJTyper Wilcoxon Statistic: 56.0
i=1, StatType-SO, SnR, iJTyper P-value: 1.368589825700377e-13
i=2, StatType-SO, ChatGPT, iJTyper Wilcoxon Statistic: 732.0
i=2, StatType-SO, ChatGPT, iJTyper P-value: 0.03931496202325405
