MLM,iJTyper-statistical
1,1
0.6667,1
0.75,0.75
1,1
1,1
0.5,0.5
0.5,0.75
1,1
0,0
0,1
1,1
0.5,0.5
0.5,1
1,1
1,1
0,0
0,0.5
1,1
0.6667,1
0.5,0.5
1,1
0.5,0.5
1,1
1,1
0.6667,0.6667
1,0
0,1
1,1
0.5,0.5
0.5,1
0,0
0.75,1
0.5,0.75
0,0.6667
0,0.6667
0.5,0.5
0.5,0.5
0,0.5
0,0.6667
0,0.6667
0.3333,0.3333
0.3333,0.3333
1,1
0.5,1
0.6667,1
0.5,1
1,1
0.5,1
0.3333,1
0.5,1
0.3333,1
0.6667,1
1,1
1,1
1,1
0.4,1
0.75,0.75
1,1
0.5,1
1,1
0,1
1,1
0.3333,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.8,0.8
1,1
1,1
0.8,1
1,1
1,1
1,1
1,1
0,1
0.6,1
0.4286,0.7143
0.6,0.8
1,1
0.5,0.5
0.3333,1
0,1
1,1
1,1
1,1
1,1
0.25,0.75
0.5,0.8333
0.5,1
0,0.5
0.3333,1
0.25,1
0,1
0.6667,0.6667
0.8571,1
