SnR,iJTyper-constraint
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.5,0.5
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.6667,0.8333
1,1
1,1
1,1
1,1
1,1
0,0
1,1
1,1
0,0
1,1
0,0
1,1
0.5,0.75
0.6667,0.6667
1,1
1,1
1,1
0.75,0.75
1,1
0.6667,0.6667
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,0
1,1
1,1
0,0
1,1
1,1
1,1
1,1
0.5,1
1,1
1,1
1,1
0,0
1,1
1,1
1,1
0,0
1,1
1,1
1,1
1,1
0.8,0.8
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.7143,0.7143
1,1
1,1
0.6,0.6
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.75,0.75
1,1
1,1
1,1
0.6667,0.6667
1,1
