MLM,SnR,ChatGPT,iJTyper
0.75,1,1,1
0.5,1,1,1
0,1,1,1
0.75,1,1,1
0.3333,1,1,1
1,1,1,1
0.8,1,1,1
1,1,1,1
0.75,1,1,1
1,1,1,1
0.5714,1,1,1
0.9,1,0.888888889,1
1,0.9091,1,1
0.8333,0.8333,1,1
0.5833,1,1,1
0.6,0.8,0.8,0.8
1,1,1,1
1,1,1,1
0.9412,1,1,1
0.6667,1,1,1
0.8333,1,1,1
1,1,1,1
1,1,1,1
0.3,0,1,0.6
0.8571,0.8571,1,1
0.6667,1,1,1
1,1,1,1
0.6667,1,1,1
1,1,1,1
1,1,1,1
0.125,1,0.857142857,1
0.6,1,1,1
0.3,1,1,1
1,1,1,1
0.75,0,1,0.75
0.3333,0.7778,1,0.8889
0,1,1,1
0.8,1,1,1
1,1,1,1
1,1,1,1
0.8333,0.8333,1,1
0.6,0.9,1,1
0.8571,0.8571,1,1
0.75,1,1,1
0.8333,1,1,1
1,0.8,1,1
0.5,1,1,1
0.25,0,0.333333333,0.25
1,0.8,1,1
0.8333,1,1,1
0.6667,1,1,1
1,1,1,1
0.8571,0.8571,1,1
0.6667,0.8333,1,1
1,1,1,1
0.2,1,0.4,1
0.75,0.375,1,1
0.4286,1,1,1
0.8,1,1,1
0.8333,1,1,1
0.8333,0.6667,1,1
0.8,0.8,1,1
0.9,0.7,1,1
1,1,1,1
1,1,1,1
0.75,0.25,1,1
0.6,0.4,0.6,1
0.8889,0.7778,1,1
0.8333,1,1,1
0.875,0.875,1,0.75
0.625,1,1,1
1,0.1429,1,1
1,0.8571,1,1
0.8571,1,0.857142857,1
0.6,1,1,1
0.3333,0.8333,0.833333333,1
1,1,1,1
0.7333,1,1,1
0.3333,1,0.333333333,1
0.5714,1,0.833333333,1
0.75,1,1,1
0.5714,1,0.8,1
0,1,1,1
0.2857,1,0.714285714,1
1,1,1,1
0.6,0.8,1,0.8
0.875,0.625,1,1
0.5,1,0.5,1
0.3333,1,0.6,1
0.3333,1,1,1
0,1,0.75,0.75
0,1,1,1
0.75,1,1,1
0.1667,1,1,1
0.75,1,1,1
0.75,1,1,1
0.2,0.8,0.8,0.8
0.4167,0.9167,0.916666667,0.9167
0.25,1,0.833333333,0.9167
0.4,1,1,1
0.3333,1,1,1
0.1429,0.8571,0.857142857,0.7143
0.5,1,1,1
1,1,1,1
0.75,1,1,1
0.75,1,1,1
0.75,1,1,1
0.5556,1,0.777777778,1
0.3333,1,1,1
0.6667,1,0.833333333,1
0.1667,0.8333,1,0.8333
0.5714,1,1,1
0.6667,1,1,1
0.25,1,0.375,1
0.25,0.75,1,0.75
0.5,1,1,1
0.5,0.75,0.75,0.75
0.3333,1,1,1
0.25,0.75,0.75,0.75
1,1,1,1
0.3333,0.8333,1,1
1,1,1,1
0.5,1,1,1
1,1,1,1
0.6,0.8,1,1
0.5,0.75,1,1
1,1,1,1
0.75,0.75,1,1
1,0.5,1,1
0.8333,1,1,1
0.5,0.5,1,1
0.8333,0.8333,1,1
1,1,1,1
0.3333,1,1,1
1,1,1,1
0,1,1,1
0,0.3333,1,0.6667
0.6667,1,1,1
0.25,0,1,0.75
0.625,0.625,1,1
0.6667,0.8333,1,1
0.5,1,1,1
0.8,0.8,1,1
0.6667,1,1,1
0.75,1,1,1
1,1,1,1
0.4286,0.8571,1,0.8571
0.3333,1,0.666666667,1
0.6667,0.6667,1,1
0,0.6667,1,0.6667
0,1,1,1
0.6667,0.6667,1,1
0.6,1,1,1
1,0.2857,1,1
0.5,1,1,1
0.3333,0.6667,1,0.6667
0,1,1,1
1,1,1,1
1,0.5,1,0.5
0.5,1,1,1
0,1,1,1
0.2,1,1,1
1,0.75,1,1
0.6667,0.6667,1,0.8333
0.3333,1,1,1
0,1,1,1
0.5,1,0.5,1
0.25,1,1,1
0,1,1,1
0.8462,1,1,1
1,0.5,1,1
1,1,1,1
1,1,1,1
0.6,1,1,1
1,0,1,1
1,1,1,1
0.875,0.875,1,1
0.8333,1,1,1
0.5,1,1,1
0.8571,1,1,1
0.825,1,1,1
1,1,1,1
0.9167,1,1,1
0.6429,0.8571,1,1
0.8571,1,1,1
0.75,1,1,1
1,1,1,1
1,0.875,1,1
0.8,1,1,1
1,0.8,1,0.8
0.5,1,1,1
0.8571,0.8571,1,1
0.8333,0.6667,0.666666667,1
1,1,1,1
0,1,1,1
0,1,1,1
0.25,0.75,0.75,1
1,0.7143,0.714285714,1
1,0.8,0.6,1
0.875,1,1,1
0.7143,1,1,1
0.8889,0.8889,0.666666667,1
0.2,1,1,1
0.7143,1,1,1
0,1,1,1
1,0.75,1,1
0.625,0.625,0.5,0.625
0.3333,1,1,1
1,0.6,1,1
0.1429,1,0.166666667,1
0,1,0.142857143,1
0.6667,1,0.888888889,1
0.6,1,1,1
1,0.7143,0.666666667,1
0.4,1,1,1
0,1,1,1
0.5,1,1,1
0.8,0.6,1,1
0.5,1,1,1
0.3333,1,1,1
0.6,1,1,1
0.6667,1,1,1
0.6667,1,1,1
0.6667,1,1,1
0.2308,1,1,1
0.5,1,1,1
