MLM,iJTyper-statistical
0.75,0.75
0.5,0.5
0,0.1667
0.75,0.75
0.3333,0.6667
1,1
0.8,0.8
1,1
0.75,0.75
1,1
0.5714,0.5714
0.9,0.9
1,1
0.8333,0.8333
0.5833,0.9167
0.6,0.6
1,1
1,1
0.9412,0.9412
0.6667,0.8333
0.8333,1
1,1
1,1
0.3,0.6
0.8571,1
0.6667,0.5556
1,1
0.6667,1
1,1
1,1
0.125,0.125
0.6,0.6
0.3,0.9
1,1
0.75,0.75
0.3333,0.7778
0,1
0.8,0.8
1,1
1,1
0.8333,1
0.6,1
0.8571,1
0.75,0.75
0.8333,0.8333
1,1
0.5,1
0.25,0.25
1,1
0.8333,1
0.6667,1
1,1
0.8571,1
0.6667,1
1,1
0.2,0.8
0.75,1
0.4286,1
0.8,0.8
0.8333,0.8333
0.8333,1
0.8,1
0.9,0.9
1,1
1,1
0.75,1
0.6,0.6
0.8889,1
0.8333,0.8333
0.875,0.875
0.625,0.875
1,1
1,1
0.8571,0.8571
0.6,1
0.3333,0.6667
1,1
0.7333,0.8667
0.3333,0.6667
0.5714,0.7143
0.75,1
0.5714,1
0,1
0.2857,0.7143
1,1
0.6,0.8
0.875,1
0.5,1
0.3333,0.4167
0.3333,0.6667
0,0
0,1
0.75,1
0.1667,0.5
0.75,1
0.75,1
0.2,0.2
0.4167,0.5
0.25,0.3333
0.4,0.6
0.3333,1
0.1429,0.2857
0.5,1
1,1
0.75,1
0.75,1
0.75,1
0.5556,0.6667
0.3333,1
0.6667,1
0.1667,0.3333
0.5714,0.8571
0.6667,1
0.25,0.375
0.25,0.5
0.5,1
0.5,0.75
0.3333,1
0.25,0.25
1,1
0.3333,1
1,1
0.5,1
1,1
0.6,1
0.5,0.5
1,1
0.75,1
1,1
0.8333,1
0.5,1
0.8333,1
1,1
0.3333,1
1,1
0,1
0,0.6667
0.6667,1
0.25,0.75
0.625,1
0.6667,1
0.5,1
0.8,1
0.6667,1
0.75,1
1,1
0.4286,0.8571
0.3333,1
0.6667,1
0,0.6667
0,1
0.6667,1
0.6,1
1,1
0.5,1
0.3333,0.6667
0,1
1,1
1,0.5
0.5,1
0,1
0.2,1
1,1
0.6667,0.8333
0.3333,1
0,1
0.5,0.5
0.25,1
0,1
0.8462,1
1,1
1,1
1,1
0.6,1
1,1
1,1
0.875,1
0.8333,1
0.5,1
0.8571,1
0.825,1
1,1
0.9167,1
0.6429,0.9286
0.8571,1
0.75,1
1,1
1,1
0.8,1
1,1
0.5,1
0.8571,1
0.8333,1
1,1
0,1
0,1
0.25,0.875
1,1
1,1
0.875,1
0.7143,1
0.8889,1
0.2,0.8
0.7143,1
0,1
1,1
0.625,0.75
0.3333,1
1,1
0.1429,0.2857
0,0.2667
0.6667,1
0.6,1
1,1
0.4,1
0,1
0.5,1
0.8,1
0.5,1
0.3333,1
0.6,1
0.6667,1
0.6667,1
0.6667,1
0.2308,0.3846
0.5,1
