SnR,iJTyper-constraint
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.8,0.8
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,0.25
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.4,1
0.875,1
1,1
0.875,0.75
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.8333,1
1,1
1,1
1,1
1,0.75
1,1
1,1
1,1
1,1
1,1
0.8,0.8
0.9167,0.9167
1,0.9167
1,1
1,1
0.8571,0.7143
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.75,0.75
1,1
0.75,0.75
1,1
0.75,0.75
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.8333,1
1,1
1,1
1,1
1,1
0.5,0.5
1,1
0,0
0.8333,1
0.8333,1
1,1
1,1
1,1
1,1
1,1
0.8571,0.8571
1,1
1,1
1,1
1,1
1,1
1,1
0.6667,1
1,1
1,1
1,1
1,1
0.5,0.5
1,1
1,1
1,1
1,1
0.8,0.8
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.8,0.8
1,1
1,1
0.6667,1
1,1
1,1
1,1
0.75,1
0.7143,1
0.8,1
1,1
1,1
0.8889,1
1,1
1,1
1,1
0.75,1
0.625,0.625
1,1
0.6,1
1,1
1,1
1,1
1,1
0.7143,1
1,1
1,1
1,1
0.6,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
