Android23.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
Activity,android.app.Activity,android.app.Activity,1,android.app.Activity,android.app.Activity,1,1
ImageView,android.widget.ImageView,android.widget.ImageView,1,android.widget.ImageView,android.widget.ImageView,1,1
Random,java.util.Random,java.util.Random,1,java.util.Random,java.util.Random,1,1
Bundle,java.util.Bundle,android.os.Bundle,0,android.os.Bundle,android.os.Bundle,1,1
new Random(),java.util.Random,java.util.Random,1,java.util.Random,java.util.Random,1,1
ListView,android.widget.ListView,android.widget.ListView,1,android.widget.ListView,android.widget.ListView,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
ArrayAdapter,android.widget.ArrayAdapter,android.widget.ArrayAdapter,1,android.widget.ArrayAdapter,android.widget.ArrayAdapter,1,1
ArrayAdapter,android.widget.ArrayAdapter,android.widget.ArrayAdapter,1,android.widget.ArrayAdapter,android.widget.ArrayAdapter,1,1
Bitmap,android.graphics.Bitmap,android.graphics.Bitmap,1,android.graphics.Bitmap,android.graphics.Bitmap,1,1
URL,java.net.URL,java.net.URL,1,java.net.URL,java.net.URL,1,1
URL,java.net.URL,java.net.URL,1,java.net.URL,java.net.URL,1,1
MalformedURLException,java.net.MalformedURLException,java.net.MalformedURLException,1,java.net.MalformedURLException,java.net.MalformedURLException,1,1
HttpURLConnection,java.net.HttpURLConnection,java.net.HttpURLConnection,1,java.net.HttpURLConnection,java.net.HttpURLConnection,1,1
BitmapFactory,android.graphics.BitmapFactory,android.graphics.BitmapFactory,1,android.graphics.BitmapFactory,android.graphics.BitmapFactory,1,1
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
dl_correct:16,dl_precision:0.9412,,rule_correct:17,rule_checked:17,rule_precision:1.0,rule_recall:1.0
checked:17,total correct:17,total precision:1.0
