gwt_class_37.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
EntryPoint,com.google.gwt.core.client.EntryPoint,com.google.gwt.core.client.EntryPoint,1,com.google.gwt.core.client.EntryPoint,com.google.gwt.core.client.EntryPoint,1,1
RequestException,com.google.gwt.http.client.RequestException,com.google.gwt.http.client.RequestException,1,com.google.gwt.http.client.RequestException,com.google.gwt.http.client.RequestException,1,1
RequestBuilder,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,1
RequestBuilder,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,com.google.gwt.http.client.RequestBuilder,com.google.gwt.http.client.RequestBuilder,1,1
URL,java.net.URL,com.google.gwt.http.client.URL,0,com.google.gwt.http.client.URL,com.google.gwt.http.client.URL,1,1
RequestCallback,com.google.gwt.http.client.RequestCallback,com.google.gwt.http.client.RequestCallback,1,com.google.gwt.http.client.RequestCallback,com.google.gwt.http.client.RequestCallback,1,1
JsArray,com.google.gwt.core.client.JsArray,com.google.gwt.core.client.JsArray,1,com.google.gwt.core.client.JsArray,com.google.gwt.core.client.JsArray,1,1
Widget,com.google.gwt.user.client.ui.Widget,com.google.gwt.user.client.ui.Widget,1,-,-,0,1
RootPanel,com.google.gwt.user.client.ui.RootPanel,com.google.gwt.user.client.ui.RootPanel,1,-,-,0,1
new HTML,com.google.gwt.user.client.ui.HTML,com.google.gwt.user.client.ui.HTML,1,-,-,0,1
dl_correct:9,dl_precision:0.9,,rule_correct:7,rule_checked:7,rule_precision:1.0,rule_recall:0.7
checked:10,total correct:10,total precision:1.0
