hibernate_class_15.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
Date,java.util.Date,java.util.Date,1,java.sql.Date,java.util.Date,0,0
Blob,java.sql.Blob,java.sql.Blob,1,-,-,0,1
Hibernate,org.hibernate.engine.jdbc.Hibernate,org.hibernate.Hibernate,0,-,-,0,0
ByteArrayOutputStream,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,1
new ByteArrayOutputStream(),java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,java.io.ByteArrayOutputStream,java.io.ByteArrayOutputStream,1,1
SQLException,java.sql.SQLException,java.sql.SQLException,1,java.sql.SQLException,java.sql.SQLException,1,1
IOException,java.io.IOException,java.io.IOException,1,java.io.IOException,java.io.IOException,1,1
InputStream,java.io.InputStream,java.io.InputStream,1,java.io.InputStream,java.io.InputStream,1,1
dl_correct:7,dl_precision:0.875,,rule_correct:5,rule_checked:6,rule_precision:0.8333,rule_recall:0.625
checked:8,total correct:6,total precision:0.75
