hibernate_class_26.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
SessionFactory,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,org.hibernate.SessionFactory,org.hibernate.SessionFactory,1,1
Session,org.hibernate.Session,org.hibernate.Session,1,org.hibernate.Session,org.hibernate.Session,1,1
Query,org.hibernate.orm.test.hql.Query,org.hibernate.Query,0,org.hibernate.Query,org.hibernate.Query,1,1
List,java.util.List,java.util.List,1,java.util.List,java.util.List,1,1
AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,1
new AnnotationConfiguration(),org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,org.hibernate.cfg.AnnotationConfiguration,org.hibernate.cfg.AnnotationConfiguration,1,1
SchemaExport,org.hibernate.tool.schema.internal.SchemaExport,org.hibernate.tool.hbm2ddl.SchemaExport,0,org.hibernate.tool.hbm2ddl.SchemaExport,org.hibernate.tool.hbm2ddl.SchemaExport,1,1
Id,jakarta.persistence.Id,javax.persistence.Id,0,javax.persistence.Id,javax.persistence.Id,1,1
GeneratedValue,jakarta.persistence.GeneratedValue,javax.persistence.GeneratedValue,0,javax.persistence.GeneratedValue,javax.persistence.GeneratedValue,1,1
OneToOne,jakarta.persistence.OneToOne,javax.persistence.OneToOne,0,javax.persistence.OneToOne,javax.persistence.OneToOne,1,1
Fetch,org.hibernate.annotations.Fetch,org.hibernate.annotations.Fetch,1,org.hibernate.annotations.Fetch,org.hibernate.annotations.Fetch,1,1
Entity,jakarta.persistence.Entity,javax.persistence.Entity,0,org.hibernate.annotations.Entity,javax.persistence.Entity,0,0
dl_correct:6,dl_precision:0.5,,rule_correct:11,rule_checked:12,rule_precision:0.9167,rule_recall:0.9167
checked:12,total correct:11,total precision:0.9167
