Class_16.java,
Node,DL_pred,DL_truth,DL_correct,Rule_pred,Rule_truth,Rule_correct,Total_correct
Preferences,java.util.prefs.Preferences,java.util.prefs.Preferences,1,java.util.prefs.Preferences,java.util.prefs.Preferences,1,1
Method,java.lang.reflect.Method,java.lang.reflect.Method,1,java.lang.reflect.Method,java.lang.reflect.Method,1,1
InvocationTargetException,java.lang.reflect.InvocationTargetException,java.lang.reflect.InvocationTargetException,1,java.lang.reflect.InvocationTargetException,java.lang.reflect.InvocationTargetException,1,1
Map,java.util.Map,java.util.Map,1,java.util.Map,java.util.Map,1,1
List,java.util.List,java.util.List,1,-,-,0,1
HashMap,java.util.HashMap,java.util.HashMap,1,java.util.HashMap,java.util.HashMap,1,1
HashMap,java.util.HashMap,java.util.HashMap,1,java.util.HashMap,java.util.HashMap,1,1
ArrayList,java.util.ArrayList,java.util.ArrayList,1,java.util.ArrayList,java.util.ArrayList,1,1
dl_correct:8,dl_precision:1.0,,rule_correct:7,rule_checked:7,rule_precision:1.0,rule_recall:0.875
checked:8,total correct:8,total precision:1.0
