JodaTime21.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
DateFormat,java.text.DateFormat,java.text.DateFormat,1,-,-,0,1
new SimpleDateFormat,java.text.SimpleDateFormat,java.text.SimpleDateFormat,1,-,-,0,1
Date,java.util.Date,java.util.Date,1,java.sql.Date,java.util.Date,0,0
ParseException,java.text.ParseException,java.text.ParseException,1,java.text.ParseException,java.text.ParseException,1,1
LocalDateTime,org.joda.time.LocalDateTime,org.joda.time.LocalDateTime,1,org.joda.time.LocalDateTime,org.joda.time.LocalDateTime,1,1
DateTime,org.joda.time.DateTime,org.joda.time.DateTime,1,org.joda.time.DateTime,org.joda.time.DateTime,1,1
DateTimeZone,org.joda.time.DateTimeZone,org.joda.time.DateTimeZone,1,org.joda.time.DateTimeZone,org.joda.time.DateTimeZone,1,1
DateTime,org.joda.time.DateTime,org.joda.time.DateTime,1,org.joda.time.DateTime,org.joda.time.DateTime,1,1
dl_correct:8,dl_precision:1.0,,rule_correct:5,rule_checked:6,rule_precision:0.8333,rule_recall:0.625
checked:8,total correct:7,total precision:0.875
