xstream_class_21.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
Converter,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,com.thoughtworks.xstream.converters.Converter,com.thoughtworks.xstream.converters.Converter,1,1
Map,java.util.Map,java.util.Map,1,java.util.Map,java.util.Map,1,1
Mapper,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1,1
ReflectionProvider,com.thoughtworks.xstream.converters.reflection.ReflectionProvider,com.thoughtworks.xstream.converters.reflection.ReflectionProvider,1,com.thoughtworks.xstream.converters.reflection.ReflectionProvider,com.thoughtworks.xstream.converters.reflection.ReflectionProvider,1,1
HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,com.thoughtworks.xstream.io.HierarchicalStreamWriter,com.thoughtworks.xstream.io.HierarchicalStreamWriter,1,1
MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,com.thoughtworks.xstream.converters.MarshallingContext,com.thoughtworks.xstream.converters.MarshallingContext,1,1
ReflectionConverter,com.thoughtworks.xstream.converters.reflection.ReflectionConverter,com.thoughtworks.xstream.converters.reflection.ReflectionConverter,1,com.thoughtworks.xstream.converters.reflection.ReflectionConverter,com.thoughtworks.xstream.converters.reflection.ReflectionConverter,1,1
HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,com.thoughtworks.xstream.io.HierarchicalStreamReader,com.thoughtworks.xstream.io.HierarchicalStreamReader,1,1
UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,1,com.sun.xml.internal.bind.v2.runtime.unmarshaller.UnmarshallingContext,com.thoughtworks.xstream.converters.UnmarshallingContext,0,0
dl_correct:9,dl_precision:1.0,,rule_correct:8,rule_checked:9,rule_precision:0.8889,rule_recall:0.8889
checked:9,total correct:8,total precision:0.8889
