xstream_class_33.java,
Node,ASE_pred,ASE_truth,ASE_correct,SNR_pred,SNR_truth,SNR_correct,Total_correct
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
XStream,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,com.thoughtworks.xstream.XStream,com.thoughtworks.xstream.XStream,1,1
new DomDriver(),com.thoughtworks.xstream.io.client.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,0,com.thoughtworks.xstream.io.xml.DomDriver,com.thoughtworks.xstream.io.xml.DomDriver,1,1
ActionMessage,java.os.ActionMessage,flex.messaging.io.amf.ActionMessage,0,flex.messaging.io.amf.ActionMessage,flex.messaging.io.amf.ActionMessage,1,1
MessageHeader,android.os.MessageHeader,flex.messaging.io.amf.MessageHeader,0,flex.messaging.io.amf.MessageHeader,flex.messaging.io.amf.MessageHeader,1,1
MessageBody,android.os.MessageBody,flex.messaging.io.amf.MessageBody,0,flex.messaging.io.amf.MessageBody,flex.messaging.io.amf.MessageBody,1,1
RemotingMessage,com.thoughtworks.acceptance.objects.RemotingMessage,flex.messaging.messages.RemotingMessage,0,flex.messaging.messages.RemotingMessage,flex.messaging.messages.RemotingMessage,1,1
CommandMessage,android.os.CommandMessage,flex.messaging.messages.CommandMessage,0,flex.messaging.messages.CommandMessage,flex.messaging.messages.CommandMessage,1,1
AcknowledgeMessage,android.os.AcknowledgeMessage,flex.messaging.messages.AcknowledgeMessage,0,flex.messaging.messages.AcknowledgeMessage,flex.messaging.messages.AcknowledgeMessage,1,1
ErrorMessage,com.thoughtworks.acceptance.Aliasobjects.ErrorMessage,flex.messaging.messages.ErrorMessage,0,flex.messaging.messages.ErrorMessage,flex.messaging.messages.ErrorMessage,1,1
ASObject,com.thoughtworks.acceptance.Alias.CommandClassTest.ASObject,flex.messaging.io.amf.ASObject,0,flex.messaging.io.amf.ASObject,flex.messaging.io.amf.ASObject,1,1
AsyncMessage,android.os.AsyncMessage,flex.messaging.messages.AsyncMessage,0,flex.messaging.messages.AsyncMessage,flex.messaging.messages.AsyncMessage,1,1
CommandMessageExt,com.thoughtworks.xstream.io.json.JsonHierarchicalStreamFactoryTest.CommandMessageExt,flex.messaging.messages.CommandMessageExt,0,flex.messaging.messages.CommandMessageExt,flex.messaging.messages.CommandMessageExt,1,1
AcknowledgeMessageExt,com.thoughtworks.acceptance.Aliasobjects.AcknowledgeMessageExt,flex.messaging.messages.AcknowledgeMessageExt,0,flex.messaging.messages.AcknowledgeMessageExt,flex.messaging.messages.AcknowledgeMessageExt,1,1
Mapper,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1,com.thoughtworks.xstream.mapper.Mapper,com.thoughtworks.xstream.mapper.Mapper,1,1
dl_correct:3,dl_precision:0.2,,rule_correct:15,rule_checked:15,rule_precision:1.0,rule_recall:1.0
checked:15,total correct:15,total precision:1.0
