filename:Class_1.java    extra_types:['java/awt/event/WindowListener', 'java/awt/image/RenderedImage', 'java/awt/event/WindowFocusListener', 'java/awt/MenuItem', 'java/awt/image/WritableRenderedImage', 'java/awt/MenuContainer', 'java/awt/Paint', 'java/awt/event/WindowStateListener', 'java/awt/Transparency']

filename:Class_10.java    extra_types:[]

filename:Class_11.java    extra_types:['javax/accessibility/Accessible', 'java/awt/image/ImageObserver', 'javax/swing/TransferHandler$HasGetTransferHandler', 'java/awt/MenuContainer']

filename:Class_12.java    extra_types:['java/util/HashMap', 'java/util/AbstractCollection']

filename:Class_13.java    extra_types:['java/awt/image/ImageObserver', 'javax/swing/TransferHandler$HasGetTransferHandler', 'javax/swing/Scrollable', 'java/awt/MenuContainer', 'javax/swing/RootPaneContainer', 'java/awt/PopupMenu', 'javax/swing/SwingConstants', 'javax/swing/WindowConstants']

filename:Class_14.java    extra_types:[]

filename:Class_15.java    extra_types:[]

filename:Class_16.java    extra_types:['java/util/AbstractCollection', 'java/util/RandomAccess']

filename:Class_16.java    extra_types:['java/util/AbstractCollection', 'java/util/RandomAccess']

filename:Class_17.java    extra_types:['java/time/temporal/Temporal', 'java/time/temporal/TemporalAdjuster']

filename:Class_18.java    extra_types:[]

filename:Class_19.java    extra_types:['java/util/AbstractCollection', 'java/util/RandomAccess']

filename:Class_2.java    extra_types:['java/util/stream/BaseStream', 'javax/swing/event/ListDataListener', 'javax/swing/RootPaneContainer', 'java/awt/Transparency', 'javax/swing/SwingConstants', 'javax/swing/TransferHandler$HasGetTransferHandler', 'javax/swing/event/CellEditorListener', 'java/util/List', 'java/awt/image/WritableRenderedImage', 'javax/swing/event/TableColumnModelListener', 'javax/swing/ScrollPaneConstants', 'java/util/function/IntFunction', 'javax/swing/Scrollable', 'java/awt/ItemSelectable', 'java/awt/MenuContainer', 'java/util/AbstractCollection', 'java/awt/PopupMenu', 'javax/swing/ListModel', 'java/util/RandomAccess', 'java/awt/image/RenderedImage', 'javax/swing/event/ListSelectionListener', 'javax/swing/event/RowSorterListener', 'java/awt/LayoutManager2', 'java/awt/Paint', 'javax/swing/WindowConstants']

filename:Class_20.java    extra_types:['java/security/Guard', 'java/util/AbstractCollection', 'java/util/RandomAccess', 'java/nio/file/Watchable']

filename:Class_21.java    extra_types:[]

filename:Class_22.java    extra_types:['javax/swing/TransferHandler$HasGetTransferHandler', 'java/awt/MenuItem', 'java/awt/MenuContainer', 'javax/swing/RootPaneContainer', 'javax/swing/SwingConstants', 'javax/swing/WindowConstants']

filename:Class_3.java    extra_types:[]

filename:Class_4.java    extra_types:['java/util/AbstractCollection', 'java/util/RandomAccess']

filename:Class_5.java    extra_types:['java/util/AbstractCollection', 'java/nio/file/Watchable']

filename:Class_7.java    extra_types:['java/util/AbstractCollection', 'java/util/RandomAccess']

filename:Class_9.java    extra_types:[]

filename:Class_2.java    extra_types:['javax/swing/SwingConstants', 'java/util/List', 'javax/swing/event/TableColumnModelListener', 'java/util/AbstractCollection', 'java/util/RandomAccess', 'java/awt/image/WritableRenderedImage', 'javax/swing/event/RowSorterListener', 'javax/swing/TransferHandler$HasGetTransferHandler', 'javax/swing/ListModel', 'java/awt/Paint', 'javax/swing/event/CellEditorListener', 'java/awt/PopupMenu', 'javax/swing/Scrollable', 'java/awt/ItemSelectable', 'java/util/function/IntFunction', 'javax/swing/event/ListSelectionListener', 'javax/swing/RootPaneContainer', 'javax/swing/ScrollPaneConstants', 'javax/swing/event/ListDataListener', 'java/awt/Transparency', 'java/awt/LayoutManager2', 'java/util/stream/BaseStream', 'java/awt/MenuContainer', 'java/awt/image/RenderedImage', 'javax/swing/WindowConstants']

filename:Class_16.java    extra_types:['java/util/RandomAccess', 'java/util/AbstractCollection']

filename:Class_16.java    extra_types:['java/util/RandomAccess', 'java/util/AbstractCollection']

filename:Class_21.java    extra_types:[]

filename:Class_16.java    extra_types:['java/util/AbstractCollection', 'java/util/RandomAccess']

filename:Class_16.java    extra_types:[]

filename:Class_16.java    extra_types:['java/util/AbstractCollection', 'java/util/RandomAccess']

filename:Class_16.java    extra_types:[]

filename:Class_16.java log_feed_back_flag:True   extra_types:['java/util/RandomAccess', 'java/util/Collection']

filename:Class_16.java log_feed_back_flag:True   extra_types:[]

filename:Class_16.java log_feed_back_flag:True   extra_types:['java/util/RandomAccess', 'java/util/Collection']

filename:Class_16.java log_feed_back_flag:True   extra_types:[]

