filename:xstream_class_1.java    extra_types:['com/google/common/collect/SortedIterable', 'org/springframework/beans/factory/BeanClassLoaderAware', 'com/sun/corba/se/impl/ior/ObjectAdapterIdBase', 'org/eclipse/core/resources/IStorage', 'org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod', 'com/google/common/collect/Synchronized$SynchronizedObject', 'org/eclipse/core/runtime/IAdaptable', 'java/time/chrono/ChronoLocalDateImpl', 'com/google/common/collect/AbstractListMultimap', 'com/sun/java/util/jar/pack/CodingMethod', 'java/util/Collections$UnmodifiableSet', 'com/google/gwt/thirdparty/guava/common/reflect/TypeCapture', 'com/google/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/Collections2$TransformedCollection', 'com/google/gwt/thirdparty/guava/common/collect/AbstractListMultimap', 'com/google/gwt/thirdparty/guava/common/reflect/Element', 'com/google/common/collect/SortedMultisetBridge', 'sun/print/AttributeUpdater', 'com/google/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/FilteredKeyMultimap', 'com/google/gwt/thirdparty/guava/common/collect/Maps$KeySet', 'org/eclipse/jdt/internal/core/BinaryField', 'java/util/Collections$CheckedCollection', 'com/google/common/reflect/TypeCapture', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedSet', 'com/google/common/collect/AbstractTable', 'org/apache/commons/lang3/time/DatePrinter', 'org/springframework/beans/factory/InitializingBean', 'com/google/gwt/thirdparty/guava/common/collect/SortedIterable', 'javax/transaction/Transaction', 'com/google/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractRangeSet', 'com/google/gwt/thirdparty/guava/common/collect/AbstractMultimap', 'com/google/gwt/thirdparty/guava/common/collect/SortedMultisetBridge', 'org/apache/commons/lang3/time/DateParser', 'com/google/gwt/thirdparty/guava/common/collect/StandardRowSortedTable', 'com/google/gwt/thirdparty/guava/common/collect/AbstractSortedKeySortedSetMultimap', 'java/util/concurrent/ConcurrentHashMap$CollectionView', 'com/google/common/collect/Synchronized$SynchronizedCollection', 'com/google/common/collect/AbstractSortedKeySortedSetMultimap', 'java/lang/Comparable', 'com/google/common/collect/Maps$KeySet', 'org/eclipse/core/runtime/PlatformObject', 'com/google/common/reflect/Element', 'antlr/CommonAST', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedCollection', 'org/eclipse/core/resources/IProjectNature', 'com/google/gwt/thirdparty/guava/common/collect/Synchronized$SynchronizedObject', 'com/sun/corba/se/impl/ior/iiop/IIOPAddressBase']

filename:xstream_class_10.java    extra_types:['com/sun/org/apache/xalan/internal/xsltc/compiler/Instruction', 'com/sun/org/apache/xml/internal/serializer/SerializerConstants', 'org/relaxng/datatype/ValidationContext', 'com/sun/org/apache/xml/internal/serializer/ExtendedLexicalHandler', 'com/sun/org/apache/xml/internal/serializer/ExtendedContentHandler', 'com/sun/org/apache/xml/internal/serializer/XSLOutputAttributes', 'com/sun/msv/datatype/SerializationContext']

filename:xstream_class_11.java    extra_types:[]

filename:xstream_class_12.java    extra_types:[]

filename:xstream_class_13.java    extra_types:[]

filename:xstream_class_14.java    extra_types:[]

filename:xstream_class_15.java    extra_types:['org/jcp/xml/dsig/internal/dom/AbstractDOMSignatureMethod']

filename:xstream_class_16.java    extra_types:[]

filename:xstream_class_17.java    extra_types:[]

filename:xstream_class_18.java    extra_types:[]

filename:xstream_class_19.java    extra_types:[]

filename:xstream_class_2.java    extra_types:[]

filename:xstream_class_20.java    extra_types:[]

filename:xstream_class_21.java    extra_types:[]

filename:xstream_class_22.java    extra_types:[]

filename:xstream_class_23.java    extra_types:[]

filename:xstream_class_24.java    extra_types:[]

filename:xstream_class_25.java    extra_types:[]

filename:xstream_class_26.java    extra_types:['java/lang/AbstractStringBuilder']

filename:xstream_class_27.java    extra_types:[]

filename:xstream_class_28.java    extra_types:[]

filename:xstream_class_29.java    extra_types:[]

filename:xstream_class_3.java    extra_types:[]

filename:xstream_class_30.java    extra_types:[]

filename:xstream_class_31.java    extra_types:[]

filename:xstream_class_32.java    extra_types:[]

filename:xstream_class_33.java    extra_types:[]

