"id","class_id","interface"
"1","7","java/lang/annotation/Annotation"
"2","3","java/lang/annotation/Annotation"
"3","9","com/sun/xml/internal/ws/api/ServiceSharedFeatureMarker"
"4","17","com/oracle/webservices/internal/api/message/DistributedPropertySet"
"5","18","java/util/Map$Entry"
"6","20","java/security/PrivilegedAction"
"7","25","com/oracle/webservices/internal/api/message/PropertySet"
"8","28","com/oracle/webservices/internal/api/message/PropertySet"
"9","29","com/oracle/webservices/internal/api/message/DistributedPropertySet"
"10","31","java/lang/annotation/Annotation"
"11","34","com/oracle/webservices/internal/impl/internalspi/encoding/StreamDecoder"
"12","48","javax/xml/ws/Action"
"13","49","javax/xml/ws/soap/Addressing"
"14","50","javax/xml/ws/BindingType"
"15","51","javax/xml/ws/FaultAction"
"16","52","javax/jws/HandlerChain"
"17","53","javax/xml/ws/soap/MTOM"
"18","54","javax/jws/Oneway"
"19","55","javax/xml/ws/RequestWrapper"
"20","57","javax/jws/soap/SOAPBinding"
"21","56","javax/xml/ws/ResponseWrapper"
"22","58","javax/xml/ws/WebEndpoint"
"23","59","javax/xml/ws/ServiceMode"
"24","60","javax/xml/ws/WebFault"
"25","61","javax/jws/WebMethod"
"26","62","javax/jws/WebParam"
"27","64","javax/jws/WebResult"
"28","63","javax/jws/WebService"
"29","65","javax/xml/ws/WebServiceClient"
"30","66","javax/xml/ws/WebServiceProvider"
"31","68","javax/xml/ws/WebServiceRef"
"32","99","java/beans/PropertyEditor"
"33","101","java/beans/PropertyEditor"
"34","103","java/beans/PropertyEditor"
"35","120","com/sun/beans/util/Cache$Ref"
"36","121","com/sun/beans/util/Cache$Ref"
"37","122","com/sun/beans/util/Cache$Ref"
"38","127","java/io/Serializable"
"39","129","com/sun/corba/se/impl/oa/poa/BadServerIdHandler"
"40","133","com/sun/corba/se/spi/copyobject/ObjectCopier"
"41","132","com/sun/corba/se/spi/copyobject/CopierManager"
"42","134","com/sun/corba/se/spi/copyobject/ObjectCopier"
"43","135","com/sun/corba/se/spi/copyobject/ObjectCopier"
"44","136","com/sun/corba/se/spi/copyobject/ObjectCopier"
"45","139","java/lang/Runnable"
"46","155","org/omg/DynamicAny/DynAnyFactory"
"47","157","org/omg/DynamicAny/DynArray"
"48","158","org/omg/DynamicAny/DynEnum"
"49","159","org/omg/DynamicAny/DynFixed"
"50","160","org/omg/DynamicAny/DynSequence"
"51","161","org/omg/DynamicAny/DynStruct"
"52","162","org/omg/DynamicAny/DynUnion"
"53","163","org/omg/DynamicAny/DynValueBox"
"54","164","org/omg/DynamicAny/DynValue"
"55","167","com/sun/corba/se/impl/encoding/BufferManagerRead"
"56","167","com/sun/corba/se/impl/encoding/MarkAndResetHandler"
"57","168","com/sun/corba/se/impl/encoding/BufferManagerRead"
"58","168","com/sun/corba/se/impl/encoding/MarkAndResetHandler"
"59","175","com/sun/corba/se/pept/encoding/InputObject"
"60","176","com/sun/corba/se/impl/encoding/MarshalInputStream"
"61","176","org/omg/CORBA/DataInputStream"
"62","177","com/sun/corba/se/impl/encoding/RestorableInputStream"
"63","176","org/omg/CORBA/portable/ValueInputStream"
"64","182","com/sun/corba/se/impl/encoding/MarshalOutputStream"
"65","182","org/omg/CORBA/DataOutputStream"
"66","182","org/omg/CORBA/portable/ValueOutputStream"
"67","204","com/sun/corba/se/impl/encoding/TypeCodeReader"
"68","206","com/sun/corba/se/impl/encoding/TypeCodeReader"
"69","207","com/sun/corba/se/impl/encoding/MarshalInputStream"
